,lr,weight_decay,layers,bias_weight,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD,Training time,Time
0,0.01,0.1,1,0.5,5000,20.0,0.7308,0.5648810062324786,0.022524837,0.0884774848818779,0.08981739788331215,0.16961673,0.018573923,0.04018337,0.20284463,0.99999905,2.4398541e-06,1.0,0.99998635,3.836825e-06,1.0893881e-05,6.1002273e-05,0.0,0 days 00:16:23.810814,6722331.644144035
1,0.01,0.1,1,0.1,5000,20.0,0.7312,0.5461365611451221,0.009230049,0.056442275643348694,0.045216576111094406,0.057785988,0.016356517,0.0058572763,0.09613419,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:16:04.510342,6723296.324810079
2,0.01,0.1,1,0.2,5000,20.0,0.732,0.549280281268643,0.012168476,0.06316452473402023,0.05635448264755432,0.08708655,0.015178523,0.017095543,0.12090672,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:19:52.754878,6724489.23662901
3,0.01,0.1,3,0.5,5000,200.0,0.7318,0.5566133594028427,0.016350381,0.08387652039527893,0.08216308118976776,0.16942188,0.010641274,0.110357046,0.19051586,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:17:43.349609,6725552.743618518
4,0.01,0.1,3,0.1,5000,200.0,0.733,0.534820789161442,0.0030506882,0.0338081531226635,0.02952410851918285,0.05719761,0.00857796,0.019802948,0.08515324,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:19:17.933747,6726710.838800152
5,0.01,0.1,3,0.2,5000,200.0,0.7308,0.5389651790040001,0.0061716475,0.044934097677469254,0.0431396508482856,0.0938682,0.008526457,0.033975534,0.11699801,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:18:55.259234,6727846.256842174
6,0.01,0.1,8,0.5,5000,2000.0,0.7336,0.6249796678893823,0.053229388,0.16493695974349976,0.17282648121990388,0.26077422,0.03690698,0.13925923,0.35851356,0.68491656,0.0,0.6849166,0.6849166,0.36528218,0.0,0.36528218,0.36528218,0 days 00:26:40.105543,6729446.517850991
7,0.01,0.1,8,0.1,5000,2000.0,0.6964,0.6179238287036313,0.052677874,0.1449466049671173,0.15955003365256015,0.21356994,0.016007276,0.13859348,0.26518217,0.7421822,0.00023456385,0.74246836,0.7419914,0.26640642,0.00026506418,0.26662204,0.26608306,0 days 00:27:20.194887,6731086.856731556
8,0.01,0.1,8,0.2,5000,2000.0,0.5816,0.6468029475301221,0.06818572,0.18128158152103424,0.18458021503366653,0.23951614,0.013345084,0.18334867,0.30472723,0.7318965,0.024584513,0.75190264,0.7019026,0.27777803,0.02083021,0.30319166,0.26075116,0 days 00:25:04.963799,6732591.955695071
9,0.01,0.01,1,0.5,5000,20.0,0.7332,0.5629457335230987,0.021273404,0.08573129028081894,0.08769670417286579,0.1722064,0.018899284,0.063384645,0.2090972,0.9999993,1.3512187e-06,1.0,0.99999255,3.2639257e-06,6.036162e-06,3.316007e-05,0.0,0 days 00:18:59.553159,6733731.64751224
10,0.01,0.01,1,0.1,5000,20.0,0.7292,0.5438486996920087,0.0077850586,0.05193410441279411,0.04085869961209719,0.06161543,0.017267264,0.0070602633,0.14179277,1.0,1.1095299e-07,1.0,0.99999934,1.5604016e-07,4.894249e-07,2.985473e-06,0.0,0 days 00:19:38.602343,6734910.391909148
11,0.01,0.01,1,0.2,5000,20.0,0.7308,0.5483239555364072,0.011688504,0.06445374339818954,0.05691629547454541,0.09969036,0.01758872,0.02758462,0.14219768,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:19:15.959869,6736066.492017678
12,0.01,0.01,3,0.5,5000,200.0,0.7302,0.5557680354174425,0.016470078,0.08078305423259735,0.08079867528058712,0.17210744,0.008990198,0.11733487,0.19406724,1.0,2.8743912e-08,1.0,0.9999998,3.731841e-08,1.1150267e-07,7.4636824e-07,0.0,0 days 00:20:11.252776,6737277.886666371
13,0.01,0.01,3,0.1,5000,200.0,0.7318,0.5346479933959571,0.0030253304,0.02993660792708397,0.024878787240908785,0.06273673,0.010294414,0.016935233,0.09756122,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:19:01.055766,6738419.089283335
14,0.01,0.01,3,0.2,5000,200.0,0.7298,0.5388526177774131,0.00606904,0.04536391794681549,0.04345099005527917,0.09072956,0.009010056,0.037191097,0.12210243,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:17:10.710090,6739449.93630725
15,0.01,0.01,8,0.5,5000,2000.0,0.5292,0.6783582219257204,0.08315518,0.16335704922676086,0.20624888948477926,0.32494378,0.011257459,0.20153108,0.3475417,0.7579773,0.020077365,0.76797736,0.71797734,0.31445634,0.015741374,0.34581777,0.30661568,0 days 00:27:48.696486,6741118.781047339
16,0.01,0.01,8,0.1,5000,2000.0,0.5338,0.6754821221404491,0.08055499,0.1600881963968277,0.20533211587943262,0.32592747,0.012099064,0.1922685,0.36269712,0.6682807,0.0,0.6682808,0.6682808,0.34084627,0.0,0.34084624,0.34084624,0 days 00:24:37.379468,6742596.297807112
17,0.01,0.01,8,0.2,5000,2000.0,0.6944,0.6202399026014196,0.05512345,0.13870832324028015,0.15642866432346528,0.24733798,0.02735654,0.13499631,0.34503505,0.7127552,0.031745117,0.76275516,0.66275513,0.31469622,0.023069907,0.34695557,0.274932,0 days 00:25:22.071003,6744118.509706805
18,0.01,0.001,1,0.5,5000,20.0,0.731,0.5637627530969787,0.021396136,0.08801563829183578,0.08865183922626202,0.1721761,0.019325778,0.039864242,0.20729046,0.9907891,0.018497156,1.0,0.9525881,0.041192453,0.082721785,0.21203269,0.0,0 days 00:17:36.695957,6745175.341821366
19,0.01,0.001,1,0.1,5000,20.0,0.733,0.544129602760096,0.008283677,0.047459956258535385,0.03955565363742535,0.060279395,0.013987754,0.005665227,0.08952727,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:16:25.450664,6746160.929938622
20,0.01,0.001,1,0.2,5000,20.0,0.7312,0.5495322452705316,0.012191582,0.06434624642133713,0.057141359761135026,0.09946283,0.020000882,0.012169317,0.13224651,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:17:45.926697,6747226.999187597
21,0.01,0.001,3,0.5,5000,200.0,0.7308,0.5563629978583966,0.016184455,0.08135305345058441,0.08204262151397888,0.16939981,0.009724507,0.10543534,0.19430853,1.0,0.0,1.0,1.0,4.100924e-10,3.2934309e-09,2.6656007e-08,0.0,0 days 00:16:26.845935,6748213.987885451
22,0.01,0.001,3,0.1,5000,200.0,0.7302,0.5356261441679416,0.0033841282,0.035148825496435165,0.028714310095982,0.062976785,0.009370308,0.023505863,0.100065,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:18:44.915840,6749339.043294961
23,0.01,0.001,3,0.2,5000,200.0,0.7316,0.540254953507467,0.0066199997,0.052661698311567307,0.049242441090719145,0.09143102,0.009200824,0.044776652,0.12132892,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:18:14.042660,6750433.228610854
24,0.01,0.001,8,0.5,5000,2000.0,0.7278,0.6575674568411443,0.07058922,0.1553315818309784,0.20318203411378088,0.3231345,0.008787018,0.21218939,0.35879564,0.61812073,0.0,0.6181208,0.6181208,0.36241767,0.0,0.36241764,0.36241764,0 days 00:27:44.654604,6752098.023478418
25,0.01,0.001,8,0.1,5000,2000.0,0.6912,0.6530756096805499,0.068565324,0.17125116288661957,0.19686096769251055,0.20573995,0.018237995,0.15439866,0.28903416,0.6091162,0.026938137,0.65850663,0.58503044,0.24891524,0.010978946,0.26118886,0.23273653,0 days 00:27:29.404235,6753747.571921174
