,lr,weight_decay,layers,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD,Training time
0,0.01,0.1,1,250,20.0,0.7132,0.5677112380379513,0.010966732,0.07941440492868423,0.06461568631209558,0.03427408,0.016760966,5.738609e-05,0.07810257,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:00:28.888318
1,0.01,0.1,3,250,200.0,0.7266,0.5818139800222724,0.029172406,0.0511760376393795,0.027670987688818646,0.07868403,0.0421377,1.2754226e-07,0.23263302,0.98999995,0.020077374,1.0,0.95,0.044721358,0.08978873,0.2236068,0.0,0 days 00:00:29.686340
2,0.01,0.1,8,250,2000.0,0.6076,0.6238594358792474,0.058029357,0.1415795087814331,0.15313282319881144,0.38411543,0.02906859,0.24878044,0.462972,0.7804495,0.0095791165,0.7995339,0.7756784,0.378751,0.00069742743,0.37909842,0.37736157,0 days 00:00:57.224594
3,0.01,0.01,1,250,20.0,0.7184,0.5649181705397487,0.009613465,0.07428435236215591,0.06087167767860119,0.03914359,0.019178808,5.2251413e-05,0.084225744,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:00:24.766411
4,0.01,0.01,3,250,200.0,0.73,0.5726317036267691,0.019994548,0.04845995455980301,0.029937303847875234,0.070939936,0.03743483,0.00036597598,0.18826053,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:00:27.055379
5,0.01,0.01,8,250,2000.0,0.6892,0.6298559473936349,0.052839436,0.15614992380142212,0.17683438306130592,0.40532523,0.021723289,0.19322027,0.44696805,0.59464395,0.010647917,0.5999474,0.5734302,0.4454038,0.0037514532,0.4472723,0.4379298,0 days 00:00:57.872491
6,0.01,0.001,1,250,20.0,0.7162,0.5698689517694794,0.011297979,0.07740553468465805,0.06441204508073752,0.036576338,0.018880451,4.0509658e-05,0.09008537,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:00:25.678485
7,0.01,0.001,3,250,200.0,0.7294,0.5957435471681067,0.047551934,0.0563911497592926,0.03387758340771477,0.07162666,0.040509515,4.6902993e-08,0.23108512,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:00:25.271902
8,0.01,0.001,8,250,2000.0,0.5228,0.7716395239701905,0.11358406,0.23219649493694305,0.25691768015600863,0.3555562,0.022338193,0.18301147,0.41931054,0.7997326,0.0,0.7997326,0.7997326,0.3405556,0.0,0.34055558,0.34055558,0 days 00:00:50.180530
9,0.001,0.1,1,250,20.0,0.7308,0.5611995457350951,0.021052072,0.07497867941856384,0.06694010864772026,0.06412464,0.028488042,0.0123989675,0.11317691,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:00:40.499989
10,0.001,0.1,3,250,200.0,0.7228,0.5971397663412578,0.028649772,0.07598309963941574,0.055938841881473855,0.051489245,0.030801462,5.5704077e-06,0.13992958,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:00:27.711120
11,0.001,0.1,8,250,2000.0,0.7128,0.5972866525556888,0.044161126,0.12126149237155914,0.1283871240524215,0.11291779,0.042648736,0.04879643,0.2283397,0.999996,7.622925e-06,1.0,0.9999592,1.772143e-05,3.401845e-05,0.00018244704,0.0,0 days 00:00:43.832228
12,0.001,0.01,1,250,20.0,0.7368,0.5704701802463925,0.028050534,0.08320637047290802,0.08172333311714355,0.066116944,0.028487764,0.015721995,0.11609399,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:00:32.500835
13,0.001,0.01,3,250,200.0,0.7214,0.5994598328555537,0.028660864,0.07990202307701111,0.05634602815132712,0.04877973,0.027211584,6.9939443e-07,0.122954704,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:00:26.847392
14,0.001,0.01,8,250,2000.0,0.7028,0.5886972633782314,0.039477374,0.11360872536897659,0.11888603510536377,0.111899905,0.04386553,0.03776213,0.22043328,1.0,0.0,1.0,1.0,7.58671e-09,2.8403605e-08,1.8659206e-07,0.0,0 days 00:00:41.998698
15,0.001,0.001,1,250,20.0,0.7396,0.5689116358861053,0.026509238,0.08093845099210739,0.07836576012648765,0.06267826,0.027586613,0.008831902,0.110957,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:00:35.586562
16,0.001,0.001,3,250,200.0,0.7188,0.6061948178524703,0.03622941,0.08284784853458405,0.06210707370355849,0.04890647,0.029491046,2.9262817e-06,0.17729636,0.98999995,0.020077374,1.0,0.95,0.044721365,0.08978873,0.2236068,0.0,0 days 00:00:28.565046
17,0.001,0.001,8,250,2000.0,0.7014,0.5988138327741129,0.04531014,0.12291209399700165,0.1317367968646449,0.120145716,0.043268085,0.04977617,0.20844364,0.99750227,0.002410484,0.99996805,0.9921743,0.01116001,0.010775567,0.034997314,0.0001429878,0 days 00:00:37.514773
18,0.0001,0.1,1,250,20.0,0.5346,0.6512727520797477,0.07133619,0.16768553853034973,0.18280796541251368,0.08085167,0.036746636,0.0358232,0.24792036,0.88103074,0.05024703,0.94333774,0.80000573,0.31478682,0.06669747,0.4103427,0.22400492,0 days 00:00:40.429385
19,0.0001,0.1,3,250,200.0,0.7208,0.5589472257936032,0.0134751,0.0601324588060379,0.04768039691127961,0.08414658,0.046957806,0.007118679,0.17020401,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:00:40.179596
20,0.0001,0.1,8,250,2000.0,0.7248,0.6246300737805036,0.069584005,0.06072723865509033,0.04124271814912957,0.059007008,0.041444127,4.5692077e-06,0.23651306,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:00:41.660241
