,lr,weight_decay,annealing_coef,layers,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD
0,0.01,0.1,0.0002,1,5000,20.0,0.7234,0.5758327812594237,0.026431512,0.09777987748384476,0.10660914653219405,0.09733601,0.03462832,0.03191419,0.20074864,0.7638754,0.088580206,0.8818577,0.6412822,0.007884539,0.0012496798,0.010858134,0.0059014955
1,0.01,0.1,0.0002,3,5000,200.0,0.5414,0.6883042604106806,0.08644575,0.04496379196643829,0.2131967135754985,0.005920715,0.0032524555,0.001978236,0.034848053,0.51248825,0.022730589,0.5420484,0.48244265,0.00048689372,7.309098e-05,0.00063367176,0.00038162494
2,0.01,0.1,0.0002,8,5000,2000.0,0.5056,0.6930868990737068,0.08816984,0.0011113286018371582,0.23316101166285697,2.8258347e-08,1.4871471e-08,1.1009479e-08,1.823539e-07,0.5044955,4.894912e-08,0.50449556,0.5044954,2.3591664e-09,1.4344954e-10,2.6814542e-09,2.0806965e-09
3,0.01,0.1,0.002,1,5000,20.0,0.7318,0.5667521978489485,0.022257598,0.08843311667442322,0.09239459793247407,0.13202254,0.03537905,0.038439978,0.19941579,0.824562,0.11047882,0.9606891,0.7116265,0.010350871,0.004243379,0.02014563,0.0065917536
4,0.01,0.1,0.002,3,5000,200.0,0.5486,0.6742428571742042,0.07716979,0.07469836622476578,0.20363946703054134,0.020326221,0.011401551,0.0074720387,0.09508159,0.4990685,0.0397521,0.55418843,0.4468753,0.0015940847,0.000113674774,0.0019015144,0.0014086587
5,0.01,0.1,0.002,8,5000,2000.0,0.4944,0.693161645143678,0.08819211,0.006232351064682007,0.23356639976181212,9.115739e-08,4.7827992e-08,3.437739e-08,5.7780414e-07,0.49938777,4.343407e-08,0.49938783,0.49938762,7.611042e-09,4.2492954e-10,8.50638e-09,6.8348918e-09
6,0.01,0.1,0.02,1,5000,20.0,0.7042,0.5914377412664039,0.034271568,0.0863141193985939,0.11252743106164162,0.15095241,0.0408393,0.045933362,0.22379102,0.8662848,0.15819322,0.9987274,0.65416455,0.0074023036,0.004790968,0.015847985,0.0012707253
7,0.01,0.1,0.02,3,5000,200.0,0.4944,0.7047309465014314,0.09412484,0.0764678418636322,0.23581813649214928,0.01424903,0.010401344,0.004515507,0.1317267,0.429698,0.010546228,0.4438175,0.41514924,0.0011086199,0.00021968664,0.0016307688,0.00083575
8,0.01,0.1,0.02,8,5000,2000.0,0.5056,0.6931213863562156,0.08820249,0.00431293249130249,0.2327898845700187,5.679906e-08,2.953895e-08,2.2176943e-08,3.4722626e-07,0.5098963,5.033605e-08,0.50989634,0.50989616,4.753791e-09,2.6681674e-10,5.2855524e-09,4.207216e-09
9,0.01,0.01,0.0002,1,5000,20.0,0.5998,0.7196104873546681,0.11072341,0.12889237701892853,0.13378613289572422,0.10255329,0.039089456,0.03276108,0.20800762,0.5231133,0.20773478,0.7272236,0.22091468,0.009863681,0.0021368049,0.014142603,0.0063445834
10,0.01,0.01,0.0002,3,5000,200.0,0.5604,0.6853015030220763,0.08507041,0.09500007331371307,0.2128109621611995,0.0030469827,0.0014030759,0.0011481222,0.011100354,0.52973247,0.021024033,0.55644065,0.5002795,0.00026032276,2.540601e-05,0.0003128681,0.00021290248
11,0.01,0.01,0.0002,8,5000,2000.0,0.5056,0.6930844556211063,0.088171855,1.055002212524414e-05,0.23308075975455467,1.707221e-08,8.96734e-09,6.5987487e-09,1.09337286e-07,0.5055982,3.784312e-08,0.5055983,0.5055981,1.4254864e-09,7.5510334e-11,1.5748146e-09,1.2865576e-09
12,0.01,0.01,0.002,1,5000,20.0,0.7178,0.5698080587984009,0.023924978,0.06866364181041718,0.08146498218454545,0.10090798,0.027327076,0.028745078,0.15717314,0.8504048,0.15478481,0.99950457,0.6531219,0.0050661126,0.0037063188,0.010667702,0.0004951874
13,0.01,0.01,0.002,3,5000,200.0,0.516,0.693221908286616,0.08830988,0.03448910638689995,0.21363367163218683,0.010783406,0.0056586373,0.0030638294,0.05205522,0.47379223,0.026124658,0.5053843,0.43563682,0.00092085125,0.00020291079,0.001309783,0.0006091484
14,0.01,0.01,0.002,8,5000,2000.0,0.5056,0.6931086709944235,0.0881737,0.003482043743133545,0.23334122584141914,1.9378737e-08,1.0207426e-08,7.617129e-09,1.228352e-07,0.50212073,4.2955882e-08,0.5021208,0.5021206,1.618314e-09,9.451315e-11,1.8490783e-09,1.4432857e-09
15,0.01,0.01,0.02,1,5000,20.0,0.659,0.6229696680065905,0.056900233,0.07016104459762573,0.13933627743400756,0.18334381,0.03726309,0.0749121,0.23827769,0.80252707,0.19585963,0.9971164,0.51596886,0.012668063,0.005873972,0.020928986,0.0028752994
16,0.01,0.01,0.02,3,5000,200.0,0.4944,0.80328142017967,0.15828897,0.22419393062591553,0.29449158522166435,0.0054092123,0.002689585,0.001959288,0.02999131,0.28282073,0.007932942,0.2926168,0.27448502,0.00045551386,4.6571e-05,0.0005480123,0.00037105448
17,0.01,0.01,0.02,8,5000,2000.0,0.5056,0.6930979833573363,0.08817096,0.0025945305824279785,0.23327333503045267,1.8918549e-08,1.0032727e-08,7.3450446e-09,1.2513051e-07,0.5029997,4.723107e-08,0.5029998,0.5029996,1.5771309e-09,8.471012e-11,1.7542876e-09,1.4251736e-09
18,0.01,0.001,0.0002,1,5000,20.0,0.449,0.7227114336021235,0.104954734,0.11718728393316269,0.18575793532110874,0.1915485,0.027189773,0.09582017,0.23324837,0.4251881,0.1545424,0.63255787,0.20041627,0.028656017,0.008273476,0.047761206,0.0194346
19,0.01,0.001,0.0002,3,5000,200.0,0.657,0.6259764902146854,0.050663624,0.07623233646154404,0.15856074355706695,0.020103468,0.006804632,0.0072690863,0.054791447,0.59755826,0.042781018,0.6434664,0.5361584,0.0018231197,0.00019443959,0.0022946184,0.0014984319
20,0.01,0.001,0.0002,8,5000,2000.0,0.5056,0.6930882465742403,0.088177726,0.0013862252235412598,0.2329840583471221,1.5628423e-08,8.134724e-09,5.9374834e-09,9.893663e-08,0.506976,3.9620748e-08,0.5069761,0.50697595,1.3078901e-09,7.5972846e-11,1.4792253e-09,1.1602544e-09
21,0.01,0.001,0.002,1,5000,20.0,0.4402,0.6931554219789474,0.08819056,0.005596160888671875,0.2334883455482883,0.2886399,0.00040656136,0.27870914,0.28867513,0.5,0.0,0.5,0.5,0.2886751,0.0,0.28867513,0.28867513
22,0.01,0.001,0.002,3,5000,200.0,0.5392,0.6914060113947827,0.090454094,0.021168002858757973,0.17245123390235131,0.022629498,0.012152841,0.0067879814,0.09793777,0.49719378,0.07453696,0.5600276,0.3573386,0.001893723,0.00042629486,0.0025746836,0.0012855587
23,0.01,0.001,0.002,8,5000,2000.0,0.5056,0.6931165986421228,0.088199295,0.00400090217590332,0.23280830997504415,1.9387235e-08,1.0394835e-08,6.9832797e-09,1.3099742e-07,0.50960815,4.9785914e-08,0.5096082,0.50960803,1.6144482e-09,1.1290568e-10,1.8582603e-09,1.4011311e-09
24,0.01,0.001,0.02,1,5000,20.0,0.4944,0.6905692114836703,0.087324046,0.014132704585790634,0.22498880303777877,0.2820203,0.012771743,0.24587424,0.28867513,0.5,0.0,0.5,0.5,0.2886751,0.0,0.28867513,0.28867513
25,0.01,0.001,0.02,3,5000,200.0,0.5056,0.7093792154974914,0.09550563,0.09496350586414337,0.2309363370446128,0.012573415,0.007005694,0.0040446483,0.054583002,0.6020866,0.0073900362,0.60720325,0.58753866,0.0010075821,0.0001542304,0.0013596468,0.0007349431
26,0.01,0.001,0.02,8,5000,2000.0,0.4944,0.6932617933317258,0.08823293,0.009424388408660889,0.23385093845404809,1.701361e-08,8.9551975e-09,6.429204e-09,1.0973308e-07,0.49618384,3.6641442e-08,0.49618387,0.49618372,1.4203415e-09,7.975677e-11,1.5932771e-09,1.2654013e-09
27,0.001,0.1,0.0002,1,5000,20.0,0.731,0.570792552104855,0.028422318,0.09398168325424194,0.09477823754228776,0.16332032,0.02654393,0.052075826,0.19047281,0.9961083,0.0031237844,0.99823695,0.98873526,0.0029426534,0.0012730241,0.0061941,0.001740009
28,0.001,0.1,0.0002,3,5000,200.0,0.6426,0.6161644435135447,0.051644403,0.1078023910522461,0.09866338677309577,0.049048845,0.011091276,0.019113895,0.07619143,0.75268745,0.15847068,0.91059715,0.46523812,0.004970189,0.0010584284,0.0067056636,0.003242247
29,0.001,0.1,0.0002,8,5000,2000.0,0.4944,0.6887860048777851,0.08536558,0.02382037602365017,0.23128999674447004,0.006757006,0.007223715,0.0017300929,0.11050576,0.48923722,0.00036853942,0.4898657,0.48874834,0.00048144374,0.00013352868,0.0007931359,0.00032502777
30,0.001,0.1,0.002,1,5000,20.0,0.5202,0.7031686395774753,0.09381594,0.08231045305728912,0.21490154804267111,0.24356423,0.019920345,0.15858142,0.2883354,0.4217217,0.09776052,0.5,0.27679503,0.19252555,0.11842578,0.28867513,0.034328073
31,0.001,0.1,0.002,3,5000,200.0,0.7276,0.5437815048656511,0.00889272,0.021517984569072723,0.030018105596081656,0.09619995,0.031407658,0.015070026,0.15804291,0.9481976,0.057390656,0.99974054,0.85277295,0.003944306,0.0029741207,0.0091570495,0.0002593868
32,0.001,0.1,0.002,8,5000,2000.0,0.7264,0.5406928567689416,0.0051116385,0.054880719631910324,0.051585816564933704,0.13071111,0.041325342,0.028917108,0.17027096,0.9705166,0.00056725676,0.9714715,0.9691298,0.007513436,0.00060806354,0.008955006,0.006369505
33,0.001,0.1,0.02,1,5000,20.0,0.4778,0.6822805942208446,0.08414513,0.0726596862077713,0.20551598177828018,0.24094084,0.021594742,0.1565411,0.28824896,0.6945339,0.19947103,0.99032646,0.5,0.15108752,0.11783166,0.28867513,0.009580416
34,0.001,0.1,0.02,3,5000,200.0,0.7234,0.5857528422213362,0.030273212,0.11003362387418747,0.12078592905379956,0.17006627,0.035859708,0.05959655,0.2179013,0.80654,0.122718334,0.9926569,0.6171405,0.01630579,0.005724669,0.023727246,0.005947399
35,0.001,0.1,0.02,8,5000,2000.0,0.732,0.5616815871495917,0.016199322,0.09371720254421234,0.09948665609263008,0.19223829,0.04564291,0.046843976,0.22714402,0.99384475,0.00082233927,0.99546033,0.9921518,0.006099115,0.0008049905,0.0077788346,0.0045115943
36,0.001,0.01,0.0002,1,5000,20.0,0.6656,0.6532507445642571,0.0680481,0.11148878931999207,0.17937645786084358,0.19934806,0.040692136,0.07368629,0.2625225,0.76025933,0.19609709,0.9916882,0.5000001,0.069139205,0.11022377,0.2886751,0.0082422085
37,0.001,0.01,0.0002,3,5000,200.0,0.7322,0.5321067190021235,0.0024314807,0.017805255949497223,0.015571227367000031,0.060108118,0.014058712,0.014517567,0.08189036,0.98148793,0.017011127,0.99982303,0.95465267,0.0017535499,0.0012851693,0.0036337576,0.00017693247
38,0.001,0.01,0.0002,8,5000,2000.0,0.7258,0.5377180409900193,0.0046772626,0.03419991582632065,0.04635948111839717,0.04649624,0.016617049,0.010533228,0.07357359,0.8633997,0.0011213585,0.86520076,0.8619017,0.0043296823,0.00026846968,0.004892201,0.0038018213
39,0.001,0.01,0.002,1,5000,20.0,0.431,0.683436429269899,0.08487656,0.056034233421087265,0.20307041830100242,0.2376808,0.015474314,0.1572553,0.2849111,0.6755199,0.21800564,0.9895045,0.49999994,0.183765,0.12929921,0.28867513,0.01038591
40,0.001,0.01,0.002,3,5000,200.0,0.7272,0.5413747556680534,0.006736723,0.03412438929080963,0.029343882044927525,0.08614403,0.021620238,0.017948436,0.12459017,0.9279755,0.056250416,0.99949336,0.86256903,0.004496105,0.0026272952,0.008497846,0.00050638843
41,0.001,0.01,0.002,8,5000,2000.0,0.727,0.542313207423107,0.008480354,0.050910308957099915,0.0445509240373609,0.13326679,0.045930054,0.0102543635,0.17565364,0.966167,0.0063883634,0.9716098,0.9537441,0.008093266,0.0011204176,0.011023097,0.0065245777
42,0.001,0.01,0.02,1,5000,20.0,0.5258,0.6888447960563324,0.0857958,0.03707220405340195,0.2209733711806697,0.24265012,0.010325586,0.18114892,0.28062698,0.5284071,0.15653965,0.767105,0.2573549,0.17960618,0.10145723,0.28867513,0.044017542
43,0.001,0.01,0.02,3,5000,200.0,0.7296,0.5567506521910609,0.015851362,0.07843434810638428,0.08299503349341576,0.18458648,0.03272559,0.08828061,0.22172524,0.99057925,0.01057457,0.9970289,0.9684032,0.0057370076,0.0032754801,0.013386766,0.002962291
44,0.001,0.01,0.02,8,5000,2000.0,0.7212,0.6074266495942653,0.04378978,0.13583622872829437,0.1541964587954444,0.21552876,0.020311667,0.10726732,0.23136738,0.98735255,0.0037545022,0.99238986,0.9786168,0.012252969,0.0037411463,0.020882854,0.007552436
45,0.001,0.001,0.0002,1,5000,20.0,0.4682,0.6957503375785514,0.08959292,0.06765775382518768,0.1935716068772239,0.2534202,0.012393193,0.20025735,0.28782877,0.60731965,0.18581085,0.97828734,0.5,0.232954,0.104529634,0.28867513,0.021246236
46,0.001,0.001,0.0002,3,5000,200.0,0.7318,0.5310314671704753,0.0029780695,0.02026817575097084,0.025092738018707678,0.04449118,0.011280403,0.011910965,0.06271074,0.9413474,0.02900761,0.986127,0.90146726,0.0025108282,0.0006507914,0.0034843371,0.0012288954
47,0.001,0.001,0.0002,8,5000,2000.0,0.7286,0.5572211464705006,0.016268574,0.04791048541665077,0.07878046759344762,0.039250206,0.015998581,0.015710216,0.07754965,0.7683692,0.0033083356,0.77178,0.76287264,0.0041813212,0.000766062,0.005579362,0.0028960952
48,0.001,0.001,0.002,1,5000,20.0,0.5114,0.6683760223411147,0.077911936,0.14019298553466797,0.2017089424697322,0.24231291,0.016479647,0.15949805,0.2879311,0.6943053,0.238901,0.98991764,0.5,0.1788165,0.13507925,0.28867513,0.009981225
49,0.001,0.001,0.002,3,5000,200.0,0.6984,0.5609009468304718,0.014735858,0.052421025931835175,0.05408150324799244,0.08780311,0.03413891,0.023454504,0.16370304,0.81754774,0.19854167,0.9992433,0.51582885,0.0040127896,0.0025412587,0.0077539734,0.0007561147
50,0.001,0.001,0.002,8,5000,2000.0,0.732,0.5348072898710584,0.0029972019,0.034933850169181824,0.02728941121861462,0.12782288,0.037151318,0.02334193,0.17057228,0.93789005,0.0007826876,0.9391007,0.93619716,0.010480824,0.0007100944,0.011996812,0.009106453
51,0.001,0.001,0.02,1,5000,20.0,0.476,0.6799999524264183,0.08159172,0.079110287129879,0.20003788639582817,0.23918469,0.019936595,0.15939814,0.2883657,0.7386584,0.21571,0.984507,0.5,0.13064995,0.12971047,0.28867513,0.015254768
52,0.001,0.001,0.02,3,5000,200.0,0.7292,0.5707861496351525,0.024296872,0.1050870344042778,0.10428657543338958,0.18714139,0.026926087,0.08588315,0.2235589,0.8873617,0.078621574,0.99527687,0.76909196,0.015945379,0.0057174736,0.024331123,0.004700872
53,0.001,0.001,0.02,8,5000,2000.0,0.7298,0.5654942370394429,0.017888824,0.09996376186609268,0.10595995183900123,0.19450696,0.048179317,0.018275462,0.2283699,0.9931624,0.0012267323,0.9952249,0.9901759,0.0067854845,0.0012066014,0.009714121,0.0047519524
54,0.0001,0.1,0.0002,1,5000,20.0,0.5582,0.6650651603764043,0.07587874,0.11575465649366379,0.1857148102013034,0.21922812,0.023899436,0.120071135,0.26598015,0.713127,0.11486047,0.8097551,0.5,0.08293718,0.10339904,0.28867513,0.024945827
55,0.0001,0.1,0.0002,3,5000,200.0,0.7314,0.5362876374579714,0.005496148,0.027953125536441803,0.018629474679903432,0.090341195,0.01961291,0.016289806,0.11607885,0.9993739,8.065828e-05,0.9995242,0.9991632,0.0006256451,8.055574e-05,0.0008360922,0.00047561165
56,0.0001,0.1,0.0002,8,5000,2000.0,0.733,0.5375249042014506,0.0033097484,0.040751490741968155,0.03724415835641448,0.051143486,0.015404355,0.01644712,0.08092476,0.92212033,0.0025449046,0.9259997,0.918622,0.0034958909,0.0003200719,0.004213737,0.002866024
57,0.0001,0.1,0.002,1,5000,20.0,0.5272,0.7612966056810854,0.13634738,0.16580228507518768,0.1672523733464641,0.21756741,0.027776109,0.08189025,0.2706133,0.14532042,0.19218433,0.5197658,0.0039990414,0.075717285,0.106479,0.28722012,0.003983081
58,0.0001,0.1,0.002,3,5000,200.0,0.7312,0.5508361736448455,0.016637038,0.04600769653916359,0.045159997352735445,0.1394007,0.027341021,0.039760463,0.17007129,0.99836576,0.00019853003,0.9987825,0.9979682,0.001631549,0.00019787857,0.0020276804,0.0012160133
59,0.0001,0.1,0.002,8,5000,2000.0,0.7308,0.5361251791600469,0.003684443,0.03317863494157791,0.028896315578149007,0.12395426,0.030497396,0.042685203,0.16583312,0.88191855,0.002494289,0.88474923,0.8770631,0.01456405,0.00096328784,0.016645601,0.012567775
60,0.0001,0.1,0.02,1,5000,20.0,0.4452,0.7524183268271707,0.121318996,0.15279097855091095,0.16694229307152456,0.23948857,0.01325341,0.16680327,0.28311095,0.3068592,0.2371151,0.5,0.012324938,0.18006854,0.13345739,0.28867513,0.012173958
61,0.0001,0.1,0.02,3,5000,200.0,0.7304,0.6090506303809304,0.04670443,0.14394111931324005,0.1506569457677764,0.21296053,0.013017501,0.12912628,0.22559808,0.9918104,0.0011580499,0.9940353,0.98938483,0.008121579,0.0011390349,0.010503081,0.005929239
62,0.0001,0.1,0.02,8,5000,2000.0,0.729,0.5603457549835361,0.015013556,0.08704084157943726,0.0950620197949571,0.18885356,0.048025083,0.054759305,0.2278412,0.99400586,0.0011214358,0.99569,0.99087346,0.0059422157,0.0010874897,0.008935628,0.0042909393
63,0.0001,0.01,0.0002,1,5000,20.0,0.5556,0.6798043574435283,0.08159737,0.08975119888782501,0.21790008384861176,0.250121,0.011405238,0.20581852,0.28576577,0.6869775,0.22989984,0.97459334,0.5,0.18580343,0.1265016,0.28867513,0.024769142
64,0.0001,0.01,0.0002,3,5000,200.0,0.7272,0.5405832737676184,0.009019744,0.032049085944890976,0.03514137237347786,0.0920853,0.020284541,0.01988834,0.12101424,0.97995615,0.026754322,0.9995807,0.9273506,0.0026166178,0.0021235698,0.0068256557,0.0004191508
65,0.0001,0.01,0.0002,8,5000,2000.0,0.7338,0.5364718887857928,0.0032807915,0.024678390473127365,0.023076243215577052,0.044546966,0.012642353,0.018456748,0.06689206,0.8682453,0.0036444254,0.87083274,0.8609696,0.0041572102,0.00027492462,0.0047680098,0.0036050759
66,0.0001,0.01,0.002,1,5000,20.0,0.5056,0.677809480373453,0.081946395,0.11627356708049774,0.18705999557055655,0.22988632,0.021363659,0.1273128,0.2869334,0.79324,0.24036188,0.99274176,0.5,0.12215142,0.13650247,0.28867513,0.0072057466
67,0.0001,0.01,0.002,3,5000,200.0,0.7328,0.5562949771964508,0.02038476,0.06259720027446747,0.058756111606733254,0.1547808,0.028365772,0.038843915,0.18942423,0.99779147,0.0003735829,0.99848056,0.99696237,0.002203569,0.00037189247,0.003028428,0.0015171246
