,lr,weight_decay,layers,bias_weight,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD,Training time
0,0.01,0.1,1,0.5,1000,20.0,0.7266,0.5824988868825343,0.037249155,0.11335772275924683,0.1084401649396641,0.16851367,0.024980247,0.009549371,0.21528482,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:00:43.247980
1,0.01,0.1,1,0.1,1000,20.0,0.7266,0.56427525396729,0.020781014,0.08219068497419357,0.07733721567650864,0.07518504,0.024005432,0.006855916,0.13008803,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:00:48.058490
2,0.01,0.1,1,0.2,1000,20.0,0.723,0.5700489277735149,0.026470596,0.09110571444034576,0.09076189563085864,0.10858674,0.025732474,0.0077219754,0.16250268,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:00:36.637049
3,0.01,0.1,3,0.5,1000,200.0,0.739,0.5605806873106465,0.025355596,0.09483563154935837,0.09327714889457057,0.1774658,0.02134227,0.11516395,0.24360275,0.99999976,3.9634648e-07,1.0,0.9999975,4.938177e-07,1.1537486e-06,7.18432e-06,0.0,0 days 00:00:53.240425
4,0.01,0.1,3,0.1,1000,200.0,0.7358,0.5389648917233619,0.007210367,0.055469103157520294,0.04777015389760564,0.0692049,0.022259852,0.020819483,0.16309625,0.97587997,0.01977011,1.0,0.95979995,0.07627421,0.06251855,0.12712368,0.0,0 days 00:00:53.272215
5,0.01,0.1,3,0.2,1000,200.0,0.7404,0.5410999680486196,0.010547165,0.05656164512038231,0.05568542635103295,0.09901055,0.017393583,0.05081027,0.17111959,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:00:52.041540
6,0.01,0.1,8,0.5,1000,2000.0,0.7182,0.6307625416276069,0.06762822,0.18267443776130676,0.18166126502265761,0.191637,0.025132583,0.15738949,0.26396874,0.7987193,1.5743689e-08,0.7987192,0.79871917,0.28146598,3.710823e-09,0.28146598,0.28146595,0 days 00:01:24.598007
7,0.01,0.1,8,0.1,1000,2000.0,0.7338,0.6170866500939203,0.06272494,0.14880821108818054,0.153452956546448,0.20554416,0.031765487,0.16626848,0.32071245,0.76635885,0.028246155,0.78933275,0.7318977,0.27762553,0.0053813383,0.2841909,0.2732486,0 days 00:01:13.484915
8,0.01,0.1,8,0.2,1000,2000.0,0.673,0.6169073235263463,0.057977602,0.17167562246322632,0.17166164168824982,0.20496543,0.02528562,0.17434691,0.3308417,0.7750301,0.0,0.77503,0.77503,0.33575627,0.0,0.33575624,0.33575624,0 days 00:01:12.669203
9,0.01,0.01,1,0.5,1000,20.0,0.7224,0.5790485538301442,0.035832018,0.11728090047836304,0.1128777953754885,0.1812787,0.020273097,0.037352607,0.21985999,0.98136264,0.03640763,1.0,0.9059126,0.05893657,0.11513103,0.29753044,0.0,0 days 00:00:45.632109
