,lr,weight_decay,layers,bias_weight,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD,Training time
0,0.01,0.1,1,0.5,250,20.0,0.714,0.5792435275095739,0.0336,0.11265292763710022,0.10889235116352866,0.17916395,0.027896905,0.020975726,0.23491544,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:00:58.101554
1,0.01,0.1,1,0.1,250,20.0,0.7132,0.5769381052066223,0.020238105,0.07974904030561447,0.08008615802039931,0.07309043,0.026732195,0.0007274982,0.1466652,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:00:57.129152
2,0.01,0.1,1,0.2,250,20.0,0.7134,0.5731010798947903,0.022667764,0.08779890835285187,0.08595060671379398,0.10132926,0.027510703,0.0024805428,0.16194916,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:00:58.542469
3,0.01,0.1,3,0.5,250,200.0,0.7188,0.5723339083165948,0.03129672,0.09284699708223343,0.09497519833853074,0.17654191,0.022595624,0.06725729,0.24792722,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:01:05.017616
4,0.01,0.1,3,0.1,250,200.0,0.7218,0.556698121759075,0.014442189,0.06326571851968765,0.05863580327516029,0.106227584,0.026312485,0.010305695,0.16282175,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:01:04.404035
5,0.01,0.1,3,0.2,250,200.0,0.7194,0.5612373827191627,0.019431721,0.05955980345606804,0.05976210434844326,0.11800779,0.023618598,0.013131058,0.19651915,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:01:15.852570
6,0.01,0.1,8,0.5,250,2000.0,0.5242,0.6799934353657112,0.09279901,0.1229611486196518,0.23057164124359913,0.406863,0.013216376,0.27871546,0.44645524,0.52612257,0.007594917,0.5322999,0.5168549,0.44649333,0.0057626353,0.45118034,0.43946078,0 days 00:01:48.792831
7,0.01,0.1,8,0.1,250,2000.0,0.5328,0.6759398222432567,0.088512346,0.17062059044837952,0.22204292604436704,0.43253335,0.02424176,0.35610294,0.49929994,0.49414766,0.03986491,0.5495416,0.44954163,0.48778182,0.0060199182,0.4995876,0.48411548,0 days 00:01:45.907762
8,0.01,0.1,8,0.2,250,2000.0,0.6046,0.6687884606550405,0.08696328,0.070083387196064,0.20591052561511825,0.386942,0.009049243,0.3458516,0.42027944,0.59984565,0.047504578,0.6770452,0.5405703,0.42933688,0.011699639,0.43953446,0.4079757,0 days 00:02:03.120158
9,0.01,0.01,1,0.5,250,20.0,0.7126,0.5804117933007641,0.033855073,0.11065039038658142,0.10974346665253472,0.17641446,0.027958754,0.012973787,0.23658042,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:00:49.231135
10,0.01,0.01,1,0.1,250,20.0,0.715,0.5746657173627335,0.01937907,0.08121658861637115,0.08108324125071595,0.075530276,0.0255304,0.0010339717,0.1525663,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:00:51.032196
11,0.01,0.01,1,0.2,250,20.0,0.714,0.5731036892804766,0.022685958,0.08824113011360168,0.08694580479522775,0.10590891,0.028665759,0.0018383487,0.17354408,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:00:59.121988
12,0.01,0.01,3,0.5,250,200.0,0.7142,0.5740657001927564,0.03171069,0.0991673618555069,0.09992740404417345,0.1795302,0.020626025,0.06103192,0.24737634,1.0,2.3469306e-08,1.0,0.9999999,2.276013e-08,8.225056e-08,5.5977614e-07,0.0,0 days 00:01:06.654713
13,0.01,0.01,3,0.1,250,200.0,0.7162,0.5591756707035064,0.017628359,0.07184375822544098,0.06859875775163601,0.11168757,0.023802219,0.018970968,0.19903153,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:01:04.828212
14,0.01,0.01,3,0.2,250,200.0,0.7198,0.5626351147115248,0.021243159,0.07346007972955704,0.07327059216310809,0.12063845,0.01997193,0.019129,0.1764859,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:00:55.935159
15,0.01,0.01,8,0.5,250,2000.0,0.5876,0.6687862270177873,0.08898805,0.10076673328876495,0.19013024168720077,0.38793576,0.014572376,0.29162866,0.41364297,0.70257884,0.024589662,0.7325789,0.68257886,0.40065315,0.013503002,0.4116358,0.38417912,0 days 00:01:50.869687
16,0.01,0.01,8,0.1,250,2000.0,0.5822,0.6650782326956157,0.08752962,0.12757647037506104,0.19548860659708805,0.3882544,0.0117051415,0.34474757,0.42493412,0.6084704,0.020077365,0.6484704,0.5984704,0.41478172,0.0063640364,0.4179515,0.40210268,0 days 00:01:46.561874
17,0.01,0.01,8,0.2,250,2000.0,0.5072,0.6889652561237346,0.09866101,0.11205702275037766,0.19253289327134915,0.42318138,0.013374026,0.38038757,0.4630118,0.6995421,0.040351566,0.7315124,0.62822855,0.42356992,0.01822668,0.45534435,0.40619922,0 days 00:01:36.817417
18,0.01,0.001,1,0.5,250,20.0,0.7114,0.578759572130884,0.032700934,0.11216416954994202,0.11006795648743938,0.18297115,0.033658776,0.011659952,0.2567277,1.0,0.0,1.0,1.0,2.4605544e-09,1.07273745e-08,7.996802e-08,0.0,0 days 00:00:53.962018
19,0.01,0.001,1,0.1,250,20.0,0.711,0.5766520615205923,0.02072631,0.0858859047293663,0.08427099824359248,0.07617068,0.02050035,0.00050998444,0.12702966,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:00:56.619308
20,0.01,0.001,1,0.2,250,20.0,0.7136,0.5737691276300795,0.023083353,0.09004683792591095,0.08759402394553253,0.09799924,0.02620274,0.0029523629,0.16082962,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:00:53.129131
21,0.01,0.001,3,0.5,250,200.0,0.7164,0.5827123950743606,0.03873313,0.11212184280157089,0.11480763944198916,0.1822948,0.024036247,0.12297112,0.24363448,0.9520823,0.016893674,0.9660031,0.93147296,0.17607127,0.028584668,0.21092896,0.15203133,0 days 00:01:00.258327
22,0.01,0.001,3,0.1,250,200.0,0.7196,0.5589861607413601,0.014691186,0.059787340462207794,0.052010896917782524,0.09803355,0.028910803,0.0026296705,0.1863469,0.99999964,1.1382855e-06,1.0,0.99999344,1.7275142e-06,5.103683e-06,2.9614825e-05,0.0,0 days 00:01:07.194947
23,0.01,0.001,3,0.2,250,200.0,0.7206,0.557731467192476,0.018695,0.06502442806959152,0.05971809684296677,0.125968,0.026257785,0.020706518,0.19725944,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:01:04.833191
24,0.01,0.001,8,0.5,250,2000.0,0.508,0.6904466409704701,0.09918628,0.0942697674036026,0.20451658268084355,0.39167765,0.008567378,0.34529504,0.4172285,0.6049296,0.020373944,0.6310255,0.5810255,0.4032798,0.0069682826,0.40900552,0.3900947,0 days 00:01:43.146772
25,0.01,0.001,8,0.1,250,2000.0,0.5094,0.7009495776914205,0.104087576,0.12542390823364258,0.18381625480761357,0.44429058,0.02005409,0.40237552,0.4762796,0.6694018,0.047743715,0.72192556,0.6156162,0.43781468,0.020102538,0.45980966,0.41506413,0 days 00:01:39.950892
26,0.01,0.001,8,0.2,250,2000.0,0.5212,0.6797549599238316,0.092424124,0.13896431028842926,0.22176133571972678,0.42119756,0.008566495,0.3524137,0.45663193,0.50397867,0.009949501,0.5237845,0.49824923,0.4514139,0.011881355,0.46037298,0.43085578,0 days 00:01:44.478054
27,0.001,0.1,1,0.5,250,20.0,0.725,0.6103870900495899,0.056669287,0.14119558036327362,0.14269798632969688,0.18308452,0.016338076,0.05496669,0.22045611,0.9999904,1.945051e-05,1.0,0.9998991,4.1599822e-05,8.598203e-05,0.00045125675,0.0,0 days 00:01:14.134008
28,0.001,0.1,1,0.1,250,20.0,0.7244,0.6049700851569193,0.05256431,0.118768110871315,0.12060209123005697,0.06912446,0.015443391,0.012642995,0.102855206,1.0,0.0,1.0,1.0,1.8454159e-09,8.256702e-09,5.3312014e-08,0.0,0 days 00:01:13.166443
29,0.001,0.1,1,0.2,250,20.0,0.7244,0.5970435866706147,0.047114752,0.11868622899055481,0.1189561001013739,0.10991841,0.020054469,0.01294829,0.15142748,1.0,6.052169e-08,1.0,0.99999964,5.1621274e-08,1.7762791e-07,1.1747759e-06,0.0,0 days 00:01:20.967155
30,0.001,0.1,3,0.5,250,200.0,0.719,0.5620327328874917,0.024055474,0.06753375381231308,0.06489654151906799,0.17448354,0.034132015,0.09789329,0.27948558,0.9885547,0.017840609,1.0,0.95248204,0.049323697,0.07712537,0.20905727,0.0,0 days 00:00:53.966797
31,0.001,0.1,3,0.1,250,200.0,0.715,0.5694557549008313,0.018922614,0.061933550983667374,0.043346181547619204,0.073003806,0.028536284,0.010600322,0.17832685,1.0,1.0495793e-08,1.0,0.9999999,1.4558281e-08,5.0892314e-08,3.4652808e-07,0.0,0 days 00:00:58.323169
32,0.001,0.1,3,0.2,250,200.0,0.7168,0.559572350712971,0.01702336,0.0535370372235775,0.038634349725000364,0.097211584,0.031756334,0.025645815,0.22597893,0.99961805,0.0008229215,1.0,0.9967481,0.0013735769,0.0029300316,0.011372005,0.0,0 days 00:00:59.587686
33,0.001,0.1,8,0.5,250,2000.0,0.719,0.5653219232176467,0.02819261,0.06423111259937286,0.07412063669075797,0.18701898,0.04139372,0.09282064,0.32077768,0.95449996,0.067927204,0.9997703,0.8181559,0.09234984,0.11859189,0.30679616,0.00070517766,0 days 00:01:23.808591
34,0.001,0.1,8,0.1,250,2000.0,0.7128,0.5632625291077044,0.025502192,0.04696616902947426,0.04783684390892813,0.13981295,0.057506394,0.050201774,0.2500331,0.98864406,0.022818986,1.0,0.93983096,0.028999483,0.058250207,0.15156229,0.0,0 days 00:01:27.904842
35,0.001,0.1,8,0.2,250,2000.0,0.717,0.5589264070036853,0.022157054,0.06002843752503395,0.064862609052263,0.17497854,0.03860517,0.08314379,0.2770798,0.97429585,0.02100701,0.9971298,0.947225,0.11088194,0.09427766,0.22360674,0.010831676,0 days 00:01:24.816605
36,0.001,0.01,1,0.5,250,20.0,0.727,0.6118450289109657,0.05796025,0.1398935467004776,0.14353859022369214,0.18129653,0.012055734,0.09239546,0.2230352,0.9605593,0.027508492,0.99999493,0.9192276,0.15537207,0.095469095,0.25630024,2.2524326e-05,0 days 00:01:10.520356
37,0.001,0.01,1,0.1,250,20.0,0.7242,0.6063165928049576,0.053515382,0.11870543658733368,0.1220948156367762,0.07264763,0.016463883,0.015531512,0.1084299,0.9999999,4.161089e-07,1.0,0.9999975,6.042088e-07,1.8477825e-06,1.103291e-05,0.0,0 days 00:01:10.034977
38,0.001,0.01,1,0.2,250,20.0,0.7242,0.6002241240919779,0.049475458,0.1250809133052826,0.12170588128080198,0.11585781,0.03239815,0.0076893056,0.16992003,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:01:16.803507
39,0.001,0.01,3,0.5,250,200.0,0.7182,0.5646758517212374,0.02621773,0.06665582209825516,0.0665667245369179,0.17564236,0.039233524,0.09757733,0.28761566,0.99609363,0.0066657416,1.0,0.981141,0.016797325,0.028974576,0.07979266,0.0,0 days 00:00:51.095287
40,0.001,0.01,3,0.1,250,200.0,0.7162,0.5723697221044849,0.02019495,0.06643727421760559,0.045900229304261304,0.06697004,0.029600853,0.006074206,0.17129572,0.9999999,4.248852e-07,1.0,0.9999975,5.534165e-07,1.6652625e-06,9.84683e-06,0.0,0 days 00:01:00.250366
41,0.001,0.01,3,0.2,250,200.0,0.7166,0.5594455632902238,0.016888825,0.059418417513370514,0.04498013675322364,0.101111695,0.035186186,0.029401274,0.23161611,0.9800575,0.039982002,1.0,0.900132,0.06141209,0.12304358,0.3073865,0.0,0 days 00:00:52.151998
42,0.001,0.01,8,0.5,250,2000.0,0.7184,0.5682809901370048,0.029319433,0.07041678577661514,0.07618962749054263,0.17179102,0.0445791,0.07263561,0.29593223,0.936528,0.044006832,0.9849595,0.8498808,0.1926614,0.07549249,0.29593343,0.045487598,0 days 00:01:25.593628
43,0.001,0.01,8,0.1,250,2000.0,0.7202,0.5518575718702253,0.017614605,0.03930285573005676,0.04032233078440259,0.1418036,0.037968833,0.050618093,0.22939995,0.9900297,0.0075127296,0.9997195,0.97893906,0.044494078,0.03358766,0.09373491,0.0012438074,0 days 00:01:29.811570
44,0.001,0.01,8,0.2,250,2000.0,0.7164,0.5603199929327811,0.023553591,0.04823007434606552,0.05838075929542611,0.13591714,0.038189862,0.04547052,0.21887109,0.99902076,0.0017899183,0.99999964,0.99332535,0.003729238,0.0067667556,0.024133706,1.2533247e-06,0 days 00:01:23.384553
45,0.001,0.001,1,0.5,250,20.0,0.725,0.6069477029352783,0.05448398,0.13844075798988342,0.13915201979389022,0.18152456,0.014653166,0.08113233,0.21619031,0.98698074,0.01910947,1.0,0.95058405,0.05398218,0.08505462,0.2209949,0.0,0 days 00:01:19.737530
46,0.001,0.001,1,0.1,250,20.0,0.7252,0.6061886059901611,0.053476915,0.11599196493625641,0.12115247123350928,0.07186847,0.015776739,0.013255975,0.10871346,0.99923,0.0016004185,1.0,0.9945243,0.0034437974,0.0071572866,0.024488151,0.0,0 days 00:01:10.580163
47,0.001,0.001,1,0.2,250,20.0,0.7232,0.5945522165917276,0.045171972,0.11341588199138641,0.11472244050016234,0.106724925,0.016754609,0.016998887,0.14417292,1.0,0.0,1.0,1.0,1.8454159e-09,8.256702e-09,5.3312014e-08,0.0,0 days 00:01:22.898963
48,0.001,0.001,3,0.5,250,200.0,0.718,0.5624338339052763,0.024331175,0.0669700875878334,0.06702079427947828,0.1740629,0.030799516,0.098171085,0.2779671,0.97010887,0.026140451,1.0,0.93972415,0.11717755,0.099531226,0.2226964,0.0,0 days 00:00:53.595626
49,0.001,0.001,3,0.1,250,200.0,0.7158,0.5715234274005504,0.020291755,0.06449040025472641,0.04535416752209495,0.06974517,0.025965426,0.009388724,0.16561891,0.99926007,0.001527947,1.0,0.99490863,0.0033087565,0.006833202,0.022769216,0.0,0 days 00:00:57.320777
50,0.001,0.001,3,0.2,250,200.0,0.7198,0.5582548094327247,0.015779715,0.055362507700920105,0.04263116062542031,0.093244754,0.026432022,0.022702646,0.16674691,0.99999833,4.6150794e-06,1.0,0.999975,7.669885e-06,2.0633503e-05,0.00011176864,0.0,0 days 00:00:50.339789
51,0.001,0.001,8,0.5,250,2000.0,0.7202,0.5657692933208573,0.02783432,0.06770773977041245,0.07716195033898185,0.1795592,0.041436758,0.09005114,0.3383655,0.98392016,0.022213878,0.999613,0.93729895,0.053122614,0.06615283,0.18565877,0.0017188088,0 days 00:01:28.705796
52,0.001,0.001,8,0.1,250,2000.0,0.7158,0.5536130683186823,0.018972477,0.0363045297563076,0.04152827573230097,0.122341834,0.048281737,0.030337386,0.25070885,0.9999771,5.226735e-05,1.0,0.9997484,0.000101993865,0.000233335,0.0011219673,0.0,0 days 00:01:28.937261
53,0.001,0.001,8,0.2,250,2000.0,0.7156,0.5575793438776218,0.021140292,0.0422474704682827,0.043063982995949476,0.13687824,0.048741534,0.044211857,0.24814409,0.999984,3.9398692e-05,1.0,0.9998037,6.7098095e-05,0.0001638936,0.00080253417,0.0,0 days 00:01:35.769345
54,0.0001,0.1,1,0.5,250,20.0,0.5308,0.6670169954938123,0.08843354,0.12755058705806732,0.1943925720881445,0.14865415,0.045819025,0.068954445,0.31627402,0.7507368,0.09731656,0.89751565,0.60900444,0.41858944,0.065469794,0.4913283,0.30616933,0 days 00:01:22.497463
55,0.0001,0.1,1,0.1,250,20.0,0.5432,0.6633848613458148,0.08684014,0.12464843690395355,0.19016990599741768,0.10829556,0.051230714,0.0337459,0.3009817,0.83229935,0.03942071,0.90095675,0.7959043,0.37219274,0.041324575,0.41011733,0.29476184,0 days 00:01:20.395091
56,0.0001,0.1,1,0.2,250,20.0,0.5894,0.6668443104249396,0.08752085,0.12950827181339264,0.18892798010220357,0.13242052,0.056851003,0.048949298,0.3691662,0.7822375,0.09609915,0.8948158,0.6555704,0.3912582,0.06665394,0.47922692,0.3063543,0 days 00:01:27.626110
57,0.0001,0.1,3,0.5,250,200.0,0.7112,0.5937666513571362,0.0457068,0.11203557252883911,0.12167441132178138,0.19590783,0.038443014,0.023775278,0.2656996,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:01:12.915134
58,0.0001,0.1,3,0.1,250,200.0,0.7136,0.5997116397714087,0.048572645,0.08548428118228912,0.10736761488427947,0.09716222,0.042164646,0.023517692,0.20977946,0.99991983,0.00019003829,1.0,0.9991253,0.00029550973,0.000688392,0.0030756649,0.0,0 days 00:01:03.584996
59,0.0001,0.1,3,0.2,250,200.0,0.7122,0.6009719858091583,0.050108477,0.09408784657716751,0.11564149873962233,0.12060647,0.039821777,0.03193229,0.19803135,0.99017394,0.019728167,1.0,0.95050144,0.043599557,0.08753983,0.220806,0.0,0 days 00:01:01.087640
