,lr,weight_decay,p_dropout,layers,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD
0,0.01,0.1,0.1,1,1000,20.0,0.7238,0.5659216037667949,0.021164792,0.08911895006895065,0.08035989108791183,0.06251491118430506,0.029316109077042005,0.01233045176154968,0.14024921680677907,0.999961541677384,0.00043849123705068794,1.0,0.9950004305769107,0.0005425212928707965,0.006185680408721399,0.0705276091274828,3.7749722353019666e-35
1,0.01,0.1,0.1,3,1000,200.0,0.7372,0.5419736962327641,0.006142629,0.043006379157304764,0.036199474060512875,0.0567999914861144,0.017239248456712472,0.015333028463665495,0.13463794474033883,0.9922534173088005,0.005489141797365604,1.0,0.9721331749856472,0.06919689143653053,0.0371475644704015,0.14643151597192036,9.940523426066586e-34
2,0.01,0.1,0.1,8,1000,2000.0,0.4946,0.6922773579778315,inf,0.010105479508638382,0.23867133139359425,0.009990244429709205,0.009490173557505826,0.0,0.0789174078253438,0.49649613394530917,0.0008143729230881015,0.49954170271754267,0.49171703442931175,0.009027689666786838,0.007691954170789663,0.04984063732408047,0.005063586291160585
3,0.01,0.1,0.3,1,1000,20.0,0.715,0.5807511307371106,0.034403667,0.11440640687942505,0.10715518484523127,0.07754247378047059,0.04326220397431687,0.01163436931592239,0.18510514031124495,0.9967240739355178,0.004926387621833577,1.0,0.9800514217792079,0.03125443561870412,0.04087579441479052,0.13813855837510267,5.082502957632869e-23
4,0.01,0.1,0.3,3,1000,200.0,0.73,0.5490596199242038,0.010006536,0.0404033288359642,0.04502217898923045,0.07431671101909673,0.02739326213180898,0.004454264119063488,0.16363124699299164,0.99607602883073,0.004649132222589769,1.0,0.9782194381952286,0.03618393743853049,0.03376002307039205,0.11685299118124765,8.808919873777525e-17
5,0.01,0.1,0.3,8,1000,2000.0,0.4948,0.6936493918210583,0.10061647,0.016215205192565918,0.23828656239023038,0.05555719582829428,0.020684035323922715,0.0,0.11078860075339934,0.48935097192989757,0.0038138732153943293,0.5000503271818161,0.4800503271818161,0.0582797604812258,0.021570485444163505,0.10649245223680755,0.0
6,0.01,0.1,0.5,1,1000,20.0,0.7238,0.5765354355240413,0.03524827,0.10862412303686142,0.1007781010638697,0.09792858426624419,0.05387333444608862,0.007609816418222469,0.20978607624076268,0.9948690660661085,0.006154402990037408,1.0,0.9748360643722117,0.0472867430044987,0.045656399515658336,0.14583643128346535,1.0166313286831765e-13
7,0.01,0.1,0.5,3,1000,200.0,0.731,0.5553231613393337,0.016041346,0.08242619782686234,0.08942507126496713,0.11588705952068803,0.03650365823075692,0.028945648255507342,0.2193257197851279,0.9395041930597464,0.019672918369109237,0.9826114535621522,0.8926878447830677,0.17249722531415046,0.03166981126433438,0.2625335239991238,0.10027797752523433
8,0.01,0.1,0.5,8,1000,2000.0,0.4938,0.6941301965800174,0.1008046,0.019820131361484528,0.24024025359263254,0.03371911101783779,0.006955921337542723,0.023937637304494417,0.2849130627903508,0.485871974339852,0.0023190209894278185,0.49099726110696795,0.4782595158368349,0.03282981695764778,0.0037248330871707666,0.042879407419545525,0.025004354568856826
9,0.01,0.01,0.1,1,1000,20.0,0.703,0.5850901079082949,0.025739212,0.09224126487970352,0.08524795698335003,0.05616589796564566,0.02776423712806228,0.00110987515843233,0.12479386259271717,0.9999615381977249,0.0004385257484772853,1.0,0.9950000366337668,0.0005425704743825175,0.006186167298226666,0.07053316699386734,0.0
10,0.01,0.01,0.1,3,1000,200.0,0.733,0.5438023058236442,0.008334683,0.04819762706756592,0.04759814205772782,0.053267142819660634,0.020627084860162313,0.006352452793064971,0.12455005207595508,0.9999112506738077,0.0005503898335473749,1.0,0.9963334858417511,0.0012518968916797148,0.007764157185743826,0.05172193875374871,6.316955326055993e-35
11,0.01,0.01,0.1,8,1000,2000.0,0.5044,0.6930882968297648,0.100358084,0.002892792224884033,0.23782011467327901,0.016395246512822807,0.005660174236260181,0.010614260089530335,0.09004505326708831,0.5025942611499475,0.001183517753703462,0.5056451374292373,0.4992983590066433,0.01610654651268348,0.005015212986131344,0.03870295284219654,0.012277427170916112
12,0.01,0.01,0.3,1,1000,20.0,0.708,0.5752793914005567,0.029043684,0.10716647654771805,0.10120471126248669,0.08624667630734112,0.048065068044069785,0.010238335565066738,0.2141194523022451,0.9992778561726376,0.0017114166628055128,1.0,0.9905064481496811,0.009510120508827973,0.021881060940796927,0.0944596482437952,2.5314349477508083e-27
13,0.01,0.01,0.3,3,1000,200.0,0.7306,0.5587574808127204,0.022399748,0.09694145619869232,0.09313186703433822,0.08367505543045695,0.020825519001526436,0.03928307592856181,0.14812240717659064,0.9699855048083341,0.011466617016467347,1.0,0.9450845476984978,0.10461666345318249,0.024569022346117894,0.14149905534371301,6.263167640476374e-13
14,0.01,0.01,0.3,8,1000,2000.0,0.4866,0.6939739390384079,0.10066843,0.007480301894247532,0.23831167106737922,0.012672085466509478,0.012081947238552831,0.009753574459216045,0.3914160077423402,0.500303355169984,0.0008285900546356659,0.5028359764814376,0.49838864549994466,0.011926788135570857,0.0023240833614055255,0.03727314454282811,0.009885892995044257
15,0.01,0.01,0.5,1,1000,20.0,0.7156,0.5745345597394013,0.03242334,0.10677356272935867,0.10612141438832115,0.101089126105728,0.057533673232253606,0.006961146074673533,0.21232068437877866,0.9972179036502942,0.0054666349223518535,1.0,0.9693344140052795,0.02426192699236797,0.03883005768488519,0.15020883902345702,1.7317712926198616e-15
16,0.01,0.01,0.5,3,1000,200.0,0.704,0.6149179999274321,0.059701793,0.13324353098869324,0.1472601896118147,0.12157859767725208,0.06072440978155289,0.008954775512596946,0.25975767444094583,0.9108498290120427,0.04784538093851802,0.986976226568222,0.7824019891908393,0.20755587234449022,0.05090868855451277,0.30106110101491484,0.08822461795292942
17,0.01,0.01,0.5,8,1000,2000.0,0.4944,0.6936924741789624,0.10052962,0.013296671211719513,0.23871645208706688,0.03539835463788331,0.007485499995690899,0.021388119610729478,0.2603282904748097,0.4927628361513265,0.002459432614994928,0.4983254711329937,0.48581023652106525,0.03439655815680835,0.005253840598173311,0.04906620133272402,0.023452047486308077
