,lr,weight_decay,annealing_coef,layers,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD
0,0.01,0.1,0.01,1,1000,20.0,0.7362,0.5465217250958767,0.015106954,0.05534496158361435,0.04769299333056043,0.08986627,0.021273468,0.011582273,0.12795413,0.9584133,0.052108932,0.99943656,0.86513233,0.0037731149,0.0031528294,0.008551867,0.0005631257
1,0.01,0.1,0.01,3,1000,200.0,0.6146,0.6595292468316996,0.08303536,0.058343641459941864,0.16585753064861125,0.0028933962,0.0015598665,0.0007863025,0.011366035,0.6181786,0.054452043,0.6669606,0.51864433,0.0002926143,6.679013e-05,0.0004034803,0.00017449986
2,0.01,0.1,0.01,8,1000,2000.0,,,,,,,,,,,,,,,,,
3,0.01,0.1,0.1,1,1000,20.0,0.5992,0.6884496430583497,0.10411536,0.10320314764976501,0.15831430836727448,0.09890152,0.043007523,0.028078932,0.22150144,0.5586559,0.2024461,0.75914574,0.28312433,0.0122463815,0.0043748296,0.021299263,0.0069939736
4,0.01,0.1,0.1,3,1000,200.0,0.505,0.6935833500895641,0.100467905,0.012745767831802368,0.22886094085087605,0.008051976,0.0056578843,0.002062802,0.06471128,0.4950874,0.016088642,0.51680964,0.47741812,0.0008904042,0.0004204292,0.0018104449,0.00047471502
5,0.01,0.1,0.1,8,1000,2000.0,0.4944,0.6932031011909998,0.10040333,0.007703006267547607,0.239684891308449,3.515744e-08,1.8890233e-08,1.4591599e-08,2.91885e-07,0.49789804,3.7108233e-08,0.49789813,0.49789795,3.7499626e-09,2.9659517e-10,4.386908e-09,3.166462e-09
6,0.01,0.1,1.0,1,1000,20.0,0.5362,0.7100809775997516,0.111515835,0.1332911103963852,0.1594980451892836,0.16882697,0.032743737,0.07984639,0.23261821,0.5143146,0.1556605,0.72703403,0.29610056,0.026306517,0.004415053,0.033556957,0.017571831
7,0.01,0.1,1.0,3,1000,200.0,,,,,,,,,,,,,,,,,
8,0.01,0.1,1.0,8,1000,2000.0,0.4944,0.693203482325666,0.10040349,0.007716834545135498,0.23968735958447285,4.135411e-08,2.262479e-08,1.7194559e-08,3.9739257e-07,0.4978857,3.9095948e-08,0.49788576,0.49788558,4.404203e-09,2.751561e-10,5.009049e-09,3.8086143e-09
9,0.01,0.01,0.01,1,1000,20.0,0.6352,0.6446255861514835,0.07403307,0.08071018010377884,0.17286362427582574,0.13454913,0.033590447,0.049107164,0.19412544,0.61117715,0.08201842,0.6953882,0.49686775,0.018785087,0.0050818017,0.030004125,0.011657558
