,lr,weight_decay,annealing_coef,layers,ntrain,nodes,ACC,ROCAUC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD
0,0.1,0.1,0.05,1,1000,20.0,0.5058,,0.8089526869241654,0.1361193,0.1715383529663086,0.17054437734594174,0.035218205,0.027035609,0.007818046,0.21341048,0.63829195,0.123986684,0.79321426,0.50897926,0.003921045,0.0019462364,0.007984451,0.0019164246
1,0.1,0.1,0.05,3,1000,200.0,0.513,,0.69262211914504,0.10013115,0.012589186429977417,0.23152863515128919,9.189081e-05,4.981441e-05,3.154689e-05,0.00095822604,0.49457163,0.011783824,0.50899756,0.48046792,9.708024e-06,1.4008467e-06,1.2135211e-05,7.024306e-06
2,0.1,0.1,0.05,8,1000,2000.0,0.4944,,0.6950622088945857,0.1013022,0.031453847885131836,0.24489008063783474,5.0525927e-08,2.701827e-08,2.1373081e-08,4.1023733e-07,0.47417188,4.343407e-08,0.474172,0.4741718,5.392822e-09,3.527554e-10,6.3261365e-09,4.794552e-09
3,0.1,0.1,0.1,1,1000,20.0,0.5762,,0.6881696429525427,0.09827283,0.03715014457702637,0.22746219281663727,0.2200909,0.016601428,0.14397162,0.23748134,0.51249015,0.07233944,0.5960506,0.42041597,0.054041468,0.014800954,0.0798862,0.03760994
4,0.1,0.1,0.1,3,1000,200.0,0.4822,,0.6945278664753887,0.100796156,0.018389731645584106,0.23175693093647787,0.0001963535,0.00014602928,4.469078e-05,0.001415102,0.48558968,0.013099501,0.5018696,0.47373122,1.8385443e-05,4.5982715e-06,2.4982466e-05,9.837795e-06
5,0.1,0.1,0.1,8,1000,2000.0,0.4944,,0.6954113219522702,0.1014792,0.03407981991767883,0.24552793468346423,8.166875e-10,4.364626e-10,3.2734992e-10,6.6385955e-09,0.47151533,3.6358493e-08,0.47151545,0.47151524,8.708133e-11,5.1515407e-12,9.947451e-11,7.7174905e-11
6,0.1,0.1,0.2,1,1000,20.0,0.599,,0.6702763731143974,0.08895666,0.03808598220348358,0.19315119593849012,0.16468385,0.036182437,0.06583964,0.2236142,0.5975622,0.11644734,0.74875635,0.48748738,0.025554622,0.009662331,0.046010118,0.014820204
7,0.1,0.1,0.2,3,1000,200.0,0.4888,,0.694129168616962,0.10081565,0.007102310657501221,0.2300642986666186,0.00010251684,6.3570515e-05,2.8445282e-05,0.0010320527,0.49862665,0.014328923,0.5106753,0.4706555,1.1101261e-05,3.0865333e-06,1.7414564e-05,6.8521163e-06
8,0.1,0.1,0.2,8,1000,2000.0,0.4944,,0.697959266770533,0.1028053,0.04929593205451965,0.24944391369333097,1.8950002e-09,1.003849e-09,7.67425e-10,1.3846879e-08,0.45631683,3.4412757e-08,0.4563169,0.45631674,2.0223889e-10,1.4925143e-11,2.344363e-10,1.7513381e-10
9,0.1,0.01,0.05,1,1000,20.0,,,,,,,,,,,,,,,,,,
10,0.1,0.01,0.05,3,1000,200.0,,,,,,,,,,,,,,,,,,
11,0.1,0.01,0.05,8,1000,2000.0,0.5056,,0.6931613491370128,0.100416236,0.006196916103363037,0.23706692923416922,1.2364942e-12,6.6676954e-13,5.087114e-13,1.071692e-11,0.5117992,4.390705e-08,0.51179934,0.51179916,1.319875e-13,1.0364697e-14,1.5639938e-13,1.1504645e-13
12,0.1,0.01,0.1,1,1000,20.0,0.5096,,0.7919460465343106,0.13046713,0.1968066394329071,0.19805848676448293,0.010202277,0.007289394,0.002756592,0.07841436,0.7160993,0.104336426,0.8669198,0.5864567,0.0011212776,0.0005565454,0.0024021105,0.00063060084
13,0.1,0.01,0.1,3,1000,200.0,0.5596,,0.6851651833301816,0.096701376,0.04059075936675072,0.2139473410915358,1.1956672e-05,5.0446197e-06,3.9401966e-06,4.379842e-05,0.50525653,0.02909512,0.54019314,0.4624019,1.3590328e-06,2.2614674e-07,1.7523026e-06,9.320471e-07
14,0.1,0.01,0.1,8,1000,2000.0,0.4944,,0.6935611864152266,0.10056506,0.015443384647369385,0.24127794795741864,1.0997012e-12,5.951319e-13,4.2443918e-13,8.9865355e-12,0.49016207,4.2146848e-08,0.49016213,0.49016193,1.1695564e-13,9.390463e-15,1.3795803e-13,9.940537e-14
15,0.1,0.01,0.2,1,1000,20.0,,,,,,,,,,,,,,,,,,
16,0.1,0.01,0.2,3,1000,200.0,,,,,,,,,,,,,,,,,,
