,lr,weight_decay,layers,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD,Training time,Time
0,0.01,0.1,1,5000,20.0,0.51,0.6932635005931025,0.00017384504,0.0007571379537694156,0.010351238298416138,0.011615666,0.005156294,0.0044245366,0.044306625,0.40401235,0.2565131,0.7274163,0.004158021,0.26092923,0.12869763,0.38910866,0.0067230584,0 days 00:31:32.251073,7703733.234921963
1,0.01,0.1,3,5000,200.0,0.5078,0.6930589880695467,6.643495e-05,0.000632166862487793,0.007073835742473602,0.0067872438,0.005228237,0.0027553549,0.04791063,0.44131064,0.09493101,0.54291844,0.26457345,0.20711486,0.040342502,0.27035174,0.13496713,0 days 00:30:10.318191,7705543.713078506
2,0.01,0.1,8,5000,2000.0,0.5056,0.6943067895950089,0.00087349233,0.024490589275956154,0.030090440917015075,0.11072422,0.0008667566,0.10989153,0.16229992,0.42931542,0.019633224,0.47010761,0.3952946,0.20871076,0.024252854,0.24217258,0.16110829,0 days 00:56:54.660763,7708958.543825088
3,0.01,0.01,1,5000,20.0,0.4994,0.6934340539730478,0.00021941362,0.0011527216993272305,0.011462568718194961,0.017120933,0.007095047,0.0068520484,0.06244089,0.41411838,0.27665466,0.80370456,0.05012127,0.31585306,0.06675425,0.40473378,0.19837786,0 days 00:38:50.976997,7711289.682038391
4,0.01,0.01,3,5000,200.0,0.5126,0.6930833825418519,0.00010714814,0.0019638442900031805,0.008345100992918015,0.009739278,0.0061980933,0.0026636845,0.051943187,0.44789985,0.13023263,0.6408938,0.24264693,0.22057523,0.03824366,0.2673619,0.14993928,0 days 00:36:01.212570,7713451.056182308
5,0.01,0.01,8,5000,2000.0,0.4888,0.6935286706994329,0.0001752076,0.0036838464438915253,0.009434560412168502,0.16523635,0.019652754,0.1108566,0.23582336,0.4587039,0.038651068,0.51151407,0.409302,0.31631646,0.011488035,0.3385759,0.29562593,0 days 00:57:14.596744,7716885.824082948
6,0.01,0.001,1,5000,20.0,0.5032,0.6933383789149088,0.00018105652,0.0014549392508342862,0.010264850777387619,0.02146917,0.013563548,0.005601389,0.087268986,0.39426848,0.21643797,0.6609472,0.06532679,0.34371385,0.066532224,0.40660077,0.21042934,0 days 00:35:33.847836,7719019.828943747
7,0.01,0.001,3,5000,200.0,0.507,0.6930861435899568,6.270326e-05,0.0008346825488843024,0.006406909900903701,0.0103255585,0.0050367285,0.004015213,0.051956456,0.41442278,0.09129291,0.5185299,0.24897106,0.23902889,0.020694185,0.27942678,0.19161534,0 days 00:31:15.100871,7720895.085888034
8,0.01,0.001,8,5000,2000.0,0.5082,0.69427969148258,0.000576462,0.012105867266654968,0.018181091541051863,0.22556533,0.010998775,0.19480523,0.25069478,0.4885625,0.06222634,0.5886575,0.3954881,0.35835412,0.019312931,0.38783038,0.32735628,0 days 00:54:23.536315,7724158.784296814
9,0.001,0.1,1,5000,20.0,0.5054,0.6934395434623455,0.00023046136,0.0035857539623975754,0.011829753416776657,0.015539365,0.005124161,0.0056100963,0.05809344,0.527099,0.22715738,0.8442656,0.16934943,0.34136537,0.042377055,0.41982204,0.2825714,0 days 00:38:05.533878,7726444.475299456
