,lr,weight_decay,annealing_coef,layers,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD,Time
0,0.01,0.1,0.0002,1,5000,20.0,0.4912,0.6938232474220767,0.00019312343,0.0011558746919035912,0.010755243998765946,0.06432593,0.0130157815,0.034719437,0.14584376,0.50989825,0.012489334,0.5258575,0.49645013,0.009237627,0.0005270404,0.010371834,0.008208971,7807675.476567807
1,0.01,0.1,0.0002,3,5000,200.0,0.5056,0.6931366908572065,7.846337e-05,0.0032332539558410645,0.008833129656314848,0.042802703,0.009313926,0.02278422,0.09794891,0.50859386,0.0012706937,0.5104148,0.50695527,0.0059740706,0.0003438878,0.0067548016,0.0053260303,7807716.796470275
2,0.01,0.1,0.0002,8,5000,2000.0,0.5056,0.6930949697988109,6.1640894e-05,0.002291083335876465,0.007892319786548615,1.645317e-08,3.7336783e-09,8.670302e-09,4.2885926e-08,0.5078924,4.0650033e-08,0.50789243,0.50789225,2.2564683e-09,1.2171329e-10,2.51539e-09,2.036091e-09,7807763.211865669
3,0.01,0.1,0.002,1,5000,20.0,0.493,0.6942340421094194,0.00033987866,0.0038432739675045013,0.01458943828344345,0.13407645,0.020345772,0.082690224,0.21076949,0.51292497,0.02295122,0.54197097,0.48894835,0.02180498,0.00130125,0.025109163,0.019590275,7807811.844302139
4,0.01,0.1,0.002,3,5000,200.0,0.492,0.6936128219810793,9.149153e-05,0.004422962665557861,0.008228883260488512,0.12898001,0.0075104767,0.09681907,0.1393918,0.4754315,0.012452409,0.49171248,0.45941985,0.03753037,0.0067787822,0.051283102,0.028091125,7807858.401037057
5,0.01,0.1,0.002,8,5000,2000.0,0.4944,0.6932827369666075,1.9092548e-05,0.009975165128707886,0.004356782644987105,3.117882e-08,7.094953e-09,1.6496033e-08,8.378367e-08,0.4956432,3.996679e-08,0.49564335,0.49564314,4.277684e-09,2.410294e-10,4.779391e-09,3.823589e-09,7807947.873757165
6,0.01,0.1,0.02,1,5000,20.0,0.5056,0.6932169218745458,0.00025801206,0.009263617917895317,0.014863557648658753,0.2346635,0.002694723,0.22814728,0.25258175,0.56752706,0.109623246,0.8011527,0.5,0.2629735,0.045319833,0.28867495,0.16219293,7807993.757476216
7,0.01,0.1,0.02,3,5000,200.0,0.4948,0.6932133380558695,2.8878456e-05,0.005015552043914795,0.003966475486755371,0.23338872,0.00083587965,0.22615346,0.23452301,0.49758258,0.023190001,0.53824836,0.4598799,0.2079191,0.036176097,0.23389496,0.13370316,7808040.013895362
8,0.01,0.1,0.02,8,5000,2000.0,0.5056,0.6931307506274345,0.00010689154,0.004818558692932129,0.010410220563411713,3.7875964e-08,8.6280165e-09,1.9953717e-08,1.00914285e-07,0.51041025,4.1653887e-08,0.5104103,0.51041013,5.1930753e-09,2.9189842e-10,5.827639e-09,4.6192494e-09,7808127.641646433
9,0.01,0.01,0.0002,1,5000,20.0,0.5008,0.6935901707386953,0.00011028012,7.778406143188477e-05,0.008346302300691605,0.057512257,0.01279007,0.030585224,0.12214799,0.50531936,0.010970576,0.5220979,0.49402764,0.008211228,0.000813848,0.009831616,0.006629193,7808195.895881147
10,0.01,0.01,0.0002,3,5000,200.0,0.4808,0.6939199142654472,0.00011304829,0.011717021465301514,0.008473953092098236,0.047362126,0.011124128,0.02575941,0.107890986,0.4928867,0.008166712,0.5050442,0.48205328,0.0065101506,0.00059410994,0.007926264,0.0053858436,7808242.476177857
11,0.01,0.01,0.0002,8,5000,2000.0,0.5056,0.6931431337971806,0.00011958714,0.00539243221282959,0.011015461778640746,1.2171729e-08,2.7695461e-09,6.625429e-09,3.1633217e-08,0.5110154,4.0650033e-08,0.5110156,0.51101536,1.6711886e-09,9.512227e-11,1.8499707e-09,1.4631613e-09,7808315.922723204
