x1,x2,r,a1,p_c0,p_r_given_c0,p_c0_given_r,p_c1,p_r_given_c1,p_c1_given_r,p_r
-34.98076211353316,-34.98076211353316,49.470268203105526,3.9269908169872414,0.5,3.789194711504162e-07,0.02158870965676752,0.5,1.7172822952308154e-05,0.9784112903432324,8.775871211729286e-06
-34.2740800506335,-34.98076211353316,48.97311794608171,3.9371945444811955,0.5,4.427211639565338e-07,0.022019549204548322,0.5,1.9663102068114267e-05,0.9779804507954516,1.00529116160354e-05
-33.56739798773384,-34.98076211353316,48.481170836836384,3.9476064526128454,0.5,5.163715027806074e-07,0.022458602005485717,0.5,2.2475776568345054e-05,0.9775413979945142,1.1496074035562831e-05
-32.86071592483418,-34.98076211353316,47.99458687327403,3.9582306504175095,0.5,6.012037324906782e-07,0.022905811096863956,0.5,2.5645573993402172e-05,0.977094188903136,1.3123388862946426e-05
-32.15403386193452,-34.98076211353316,47.51353082689213,3.9690712244291317,0.5,6.986935126544799e-07,0.023361093693786465,0.5,2.9209731230332484e-05,0.9766389063062135,1.4954212371493481e-05
-31.447351799034863,-34.98076211353316,47.03817229884531,3.9801322258321767,0.5,8.104664466405185e-07,0.023824338879948698,0.5,3.3207956928063586e-05,0.9761756611200514,1.700921168735205e-05
-30.740669736135203,-34.98076211353316,46.56868576489716,3.991417656412795,0.5,9.383043286756929e-07,0.024295405198513597,0.5,3.768234517311153e-05,0.9757045948014864,1.9310324750893613e-05
-30.03398767323554,-34.98076211353316,46.10525060770911,4.002931453253137,0.5,1.084149654293119e-06,0.02477411815153238,0.5,4.267723259398117e-05,0.9752258818484676,2.1880691124137145e-05
-29.32730561033588,-34.98076211353316,45.6480511348035,4.014677472116742,0.5,1.2501078784648054e-06,0.025260267618985466,0.5,4.82389908643067e-05,0.9747397323810145,2.4744549371385754e-05
-28.62062354743622,-34.98076211353316,45.19727658042747,4.026659469478403,0.5,1.4384468467579632e-06,0.025753605211468928,0.5,5.441574657379566e-05,0.9742463947885311,2.792709671027681e-05
-27.91394148453656,-34.98076211353316,44.75312108943608,4.038881083158918,0.5,1.6515927711118506e-06,0.026253841573823582,0.5,6.12570206776176e-05,0.9737461584261765,3.1454306724364726e-05
-27.207259421636902,-34.98076211353316,44.31578368121055,4.051345811534003,0.5,1.8921220769670762e-06,0.026760643660595385,0.5,6.881328026554815e-05,0.9732393563394045,3.5352701171257615e-05
-26.500577358737242,-34.98076211353316,43.88546819153253,4.064056991297429,0.5,2.162748416780767e-06,0.027273632008111354,0.5,7.713539625781012e-05,0.9727263679918887,3.964907233729544e-05
-25.793895295837583,-34.98076211353316,43.46238319025119,4.077017773771349,0.5,2.466304131299685e-06,0.027792378032132605,0.5,8.627400187807556e-05,0.9722076219678675,4.437015300468762e-05
-25.08721323293792,-34.98076211353316,43.04674187250984,4.090231099772079,0.5,2.8057154496917474e-06,0.028316401384463813,0.5,9.627874841269517e-05,0.9716835986155362,4.9542231931193456e-05
-24.38053117003826,-34.98076211353316,42.638761921247244,4.103699673057278,0.5,3.1839707584317106e-06,0.028845167406502684,0.5,0.0001071974568672556,0.9711548325934972,5.519071381284366e-05
-23.6738491071386,-34.98076211353316,42.23866533865818,4.117425932400796,0.5,3.6040813424719102e-06,0.02937808472243073,0.5,0.00011907516669305866,0.9706219152775694,6.133962401776528e-05
-22.96716704423894,-34.98076211353316,41.846678244295234,4.131412022364388,0.5,4.069034116263404e-06,0.02991450301948119,0.5,0.0001319530857770048,0.9700854969805188,6.80110599466341e-05
-22.26048498133928,-34.98076211353316,41.463030637521285,4.145659762861183,0.5,4.58173602159301e-06,0.03045371106735899,0.5,0.00014586744934891584,0.9695462889326409,7.522459268525443e-05
-21.553802918439622,-34.98076211353316,41.08795612208684,4.160170617634058,0.5,5.144949977873133e-06,0.03099493503328736,0.5,0.0001608482993174603,0.9690050649667126,8.299662464766672e-05
