color,x1,x2,a1,a2,r1,r2
red,-1.1815781155404608,15.623724411831732,1.453628718532379,1.562067445025635,15.352291409782461,3
red,3.032907366891052,-16.622771037722604,4.824931231870308,0.39228522008596284,14.086108751818681,3
green,7.6620445609142225,-2.8004767425342307,5.696142167820232,2.450390340627588,10.241910374897472,3
red,-3.2053678175203766,12.824656110526359,1.7534818039865796,0.277605272870498,10.308424688820025,3
green,-3.514485138207048,5.524267393610482,2.125798346352005,3.1162654283660602,9.546049689614183,3
green,-2.6752438275174937,-7.771909949053622,4.0813226487776495,2.200002299685376,9.618949931722403,3
red,-15.184480471684548,-2.856532772858304,3.298126766782245,0.1520563374172707,12.47876382562998,3
green,8.876165909520836,-6.68653867570264,5.478917910728618,0.6251507997701752,8.540696801998411,3
red,-0.48079773316299246,-15.813544061941965,4.5186666834215705,1.0303950580342112,14.066862335315781,3
green,6.884676427502528,-0.12380444109731537,5.9765857305857955,2.4296610923130806,8.872282922667077,3
green,-4.78645682804266,-1.8991589931250765,3.2713157251104574,2.7066673751799675,7.712618775129439,3
green,1.365867012681086,-5.633562481954012,4.583708436044041,2.376641619098183,7.575957570598517,3
green,-7.911469696381356,-4.582087431245478,3.461428816945271,2.4718884267752963,11.302929649684437,3
green,-9.748647660171354,-3.841791873606774,3.3095147960690423,0.8030449708522178,8.17006178572204,3
red,-9.081632409717324,11.484061168442194,2.237268137612725,0.01286550674110161,11.641225654881504,3
red,-10.601170047903192,-5.973174450337186,3.411370194150326,1.7845358317222197,12.446028018355731,3
green,4.42357359310268,9.070949586762152,1.0189219915662144,0.3359120625557604,7.211186337579378,3
green,-1.8262105694276924,4.364811336810039,1.901013096772209,3.0373162971432572,7.704839385741956,3
red,-11.506935324179564,12.853492781142279,2.151154400317849,2.109585414123649,18.597756773095497,3
green,0.9212817198838854,-6.1977839047583245,4.837414950716195,3.0945006392708656,9.260965082820535,3
red,-10.55645324048162,-8.064893196665953,3.7457345463271468,0.21521346126965563,10.338372965231072,3
green,7.7864810187768105,-5.6597665311870315,5.376323966845547,1.0792137793639,7.839608155689326,3
green,3.1059999069374316,-6.628738476457077,4.828656921009219,2.259582003817244,8.851100148516203,3
red,9.763681132600103,-0.45532447772458706,5.924883300558549,1.5304942088502516,9.182426867591696,3
green,2.84547393588535,-14.827020577388483,4.734434155412967,0.9960218218021802,13.255205093933082,3
green,-2.2990912148805123,7.63209008697994,1.6724403309340568,2.6130586404788136,10.416626933006182,3
red,-15.377888717104934,-0.7482702221659033,3.0900022249714088,2.602421528743757,17.893245738496326,3
red,8.248204427292244,-12.164116147163458,5.259033775158278,0.243404239690073,11.767525702023512,3
green,-6.9131047388038365,0.45011177643176525,2.8232259486674463,2.5243289172498486,9.152994827344633,3
green,9.263779913884921,-4.4797908052191335,5.684235778400307,0.5323594696815951,7.591977184560362,3
red,-17.001183221697296,-4.454499210996708,3.2894223353605057,2.454973234905778,19.792044398815072,3
green,0.3263220357313741,11.217941411967924,1.281789487045214,1.2922023059910646,10.020693659847023,3
green,4.679406099142888,-8.667825736389092,4.916212107413446,1.2305782097481588,8.434503548036698,3
red,-7.6399329973698435,3.2586773119835244,2.648904885405781,2.8914764267375013,11.17926688790609,3
green,2.560061420802615,-4.605966591369942,4.823631288746421,2.397046070874792,7.067882724778997,3
red,-3.796428243921559,-12.958193416035694,4.2056052891513405,1.7117840638994342,13.593706680051145,3
red,14.52204153159298,-10.108224256508247,5.533136016541506,2.1543228075926786,19.16856108629367,3
red,-6.494177052072438,-7.574041526528167,3.9910687887777714,3.0999079191255654,12.973606215506063,3
green,5.850509197070302,8.279631716143989,0.7638796160181587,2.4417736560940457,12.247123152602116,3
red,0.9622959505553484,-15.923644801396488,4.761253537353986,3.0804361765344925,18.946032813806315,3
red,6.010232361650617,9.0065668922866,0.9453648719690461,3.007756970723685,13.793564535184485,3
green,-4.00203430000146,-2.9457767357195626,3.47328066660953,2.6249107078477127,7.351549928061702,3
red,2.6630874261187496,-12.142971125342566,4.687101236565664,1.7140466781029797,12.500035269109102,3
red,13.51520666791023,-11.765386986527442,5.556664779316487,0.06112875740701244,14.923514871347141,3
green,11.650360122220114,-1.0492555620322706,6.143955057688542,0.19379234842153228,8.739394654784084,3
green,-3.080178220987656,-6.90647286989714,4.028991979400936,2.4241010676305765,9.560793163802984,3
green,9.534302038806388,3.50407424275077,0.20149403962059872,0.5332677299978279,7.459240987766704,3
red,-4.510352490944369,-1.9303793500451836,3.3506699242592415,2.8186116973343123,7.657674777434549,3
green,2.6945215629354964,4.585506708352036,0.7649136346866441,2.6400676475517817,7.7498400697843906,3
red,-11.334976750449165,-7.592239616401635,3.605146930465158,0.6117133812158585,11.07750763223915,3
red,-8.368854202187089,-4.851741212281805,3.3743367376183526,1.9465800326381677,10.363257700777993,3
green,-6.220625782381374,4.163964259974258,2.169496118740378,1.9453747587672128,8.04311391300314,3
green,-0.01763100089360492,5.029391630752465,1.187364901130323,2.456656405164095,6.980971615686426,3
green,-6.384023814359217,-0.18559232214028754,2.8005098083054105,2.262539173932809,7.867818406754761,3
green,2.3498417323803746,-6.479747094058084,4.803156758307924,2.5176068522684667,9.100738258733902,3
red,-4.285166691891991,12.68723096435767,1.804944794280092,2.721107870227532,16.073920583568825,3
red,-3.7476098346388036,10.432224414353614,1.6514484044050626,1.305391378905234,9.913338026069528,3
red,-13.93971315626697,-10.48310535310801,3.670714993579329,0.7356078935397641,15.10081327850201,3
green,8.890382158460273,-2.6082383945036502,5.709547257537686,1.071660810800793,7.446786544877606,3
red,6.963812562565471,5.323954600809429,0.33609596073143444,1.998804391347773,9.575222938183096,3
green,6.9304986529493675,-9.68994425475375,5.123629556053605,0.9726535467092917,9.963169583771597,3
green,0.7910260585974646,-8.19835702827637,4.62298836721998,2.6103446340330394,10.681518683447578,3
green,5.234573267070378,3.061740576588688,0.2053811418869668,2.4428125689798685,8.04585478224974,3
green,3.76797344666835,-8.588666970851634,4.917789816758395,2.4396848387465466,11.467476805552177,3
green,10.577761272524086,-2.7938702188426814,5.837813165998954,0.7457206407625914,8.545689430011489,3
red,-4.356975870785166,14.029884303836624,1.8266220447505854,0.22352124105658883,11.750416457889305,3
red,-12.991755313808891,-2.350091204394228,3.151312540906165,0.8349077523836326,11.000245686832734,3
green,-8.556896321459833,-0.8548978452705953,3.0039071882199804,2.4023214168291127,10.575460418561478,3
