index,x1,x2,r_x,a_x,P_red_and_x,P_blue_and_x,P_x,P_red_given_x,P_blue_given_x
0,-25.0,-25.0,35.35533905932738,3.9269908169872414,3.7675444775697686e-11,6.444604656104336e-13,3.831990524130812e-11,0.9831820965748183,0.01681790342518169
1,-24.49494949494949,-25.0,35.0000364394114,3.937194544481196,4.978094014374587e-11,9.525716351116781e-13,5.073351177885755e-11,0.981224015414824,0.018775984585176073
2,-23.98989898989899,-25.0,34.64845239755387,3.9476064526128454,6.952486727037813e-11,1.3123462483485828e-12,7.083721351872672e-11,0.9814737736966227,0.018526226303377212
3,-23.484848484848484,-25.0,34.300701280823546,3.9582306504175095,9.920123107749834e-11,1.7292858049487342e-12,1.0093051688244708e-10,0.9828665713962129,0.017133428603787085
4,-22.97979797979798,-25.0,33.956900847873726,3.969071224429132,1.1854920371653417e-10,2.4392252580377003e-12,1.2098842897457188e-10,0.9798391856253431,0.020160814374656867
5,-22.474747474747478,-25.0,33.617172309009995,3.9801322258321767,1.733430724501131e-10,3.0550789760368626e-12,1.7639815142614996e-10,0.9826807766899083,0.017319223310091704
6,-21.96969696969697,-25.0,33.28164035831636,3.991417656412795,2.3124400940497848e-10,4.1226129572687854e-12,2.3536662236224727e-10,0.9824842923100465,0.017515707689953454
7,-21.464646464646464,-25.0,32.95043319673142,4.002931453253137,2.9896987774207143e-10,6.305589029309658e-12,3.052754667713811e-10,0.9793445929474841,0.020655407052515867
8,-20.95959595959596,-25.0,32.62368254488618,4.014677472116742,3.9498288933825206e-10,8.145774624566063e-12,4.031286639628181e-10,0.979793610941748,0.020206389058252068
9,-20.454545454545453,-25.0,32.301523644436124,4.026659469478403,4.809163035886485e-10,1.1021735336438987e-11,4.919380389250875e-10,0.9775952773228879,0.02240472267711215
10,-19.949494949494948,-25.0,31.984095246542843,4.038881083158918,6.8404811273845e-10,1.585979917478487e-11,6.999079119132349e-10,0.9773401630345465,0.02265983696545347
11,-19.444444444444443,-25.0,31.671539586087164,4.051345811534003,9.284900351059383e-10,1.9078285716510004e-11,9.475683208224483e-10,0.9798660578902101,0.020133942109789905
12,-18.939393939393938,-25.0,31.364002340127957,4.064056991297429,1.03973166741734e-09,2.4330099433580396e-11,1.0640617668509203e-09,0.9771346925605785,0.02286530743942156
13,-18.434343434343432,-25.0,31.061632569060514,4.077017773771349,1.5043941492203292e-09,3.560748611606172e-11,1.540001635336391e-09,0.9768782803219012,0.023121719678098774
14,-17.929292929292927,-25.0,30.764582638878647,4.090231099772079,1.950577856953978e-09,4.979190774005876e-11,2.000369764694037e-09,0.9751086481015301,0.024891351898469926
15,-17.424242424242422,-25.0,30.47300812290722,4.103699673057278,2.5254841846090874e-09,5.479747835721019e-11,2.5802816629662974e-09,0.9787629857841896,0.021237014215810413
16,-16.919191919191917,-25.0,30.18706768135072,4.117425932400796,2.872636627113774e-09,7.117890537223402e-11,2.943815532486008e-09,0.9758208676505881,0.024179132349412026
17,-16.41414141414141,-25.0,29.906922917000877,4.131412022364388,3.6338221452265756e-09,9.555115725685734e-11,3.729373302483433e-09,0.9743787629966598,0.025621237003340132
18,-15.909090909090908,-25.0,29.632738205466584,4.145659762861183,4.8852285620007e-09,1.0923961870902554e-10,4.994468180709726e-09,0.9781278777326193,0.021872122267380695
19,-15.404040404040405,-25.0,29.36468049833523,4.160170617634058,6.142497675792933e-09,1.6088427444613303e-10,6.3033819502390655e-09,0.9744765150333258,0.025523484966674316
20,-14.898989898989898,-25.0,29.102919097750366,4.174945661802933,7.527533785594714e-09,2.0750992724202507e-10,7.73504371283674e-09,0.9731727531290287,0.026827246870971225
21,-14.393939393939393,-25.0,28.847625400999654,4.189985548668161,8.837084027066975e-09,2.877131702964878e-10,9.124797197363462e-09,0.9684690887837354,0.03153091121626465
22,-13.888888888888888,-25.0,28.598972613852776,4.205290475992353,1.0222475344174472e-08,2.8807370060925963e-10,1.0510549044783731e-08,0.9725919455413962,0.027408054458603892
23,-13.383838383838382,-25.0,28.35713543157534,4.220860152019709,1.4728447290059646e-08,3.973966226116728e-10,1.512584391267132e-08,0.9737273090410008,0.026272690958999194
24,-12.87878787878788,-25.0,28.122289686773616,4.236693761529698,1.4897341793106868e-08,4.421110782873594e-10,1.5339452871394228e-08,0.9711781716079437,0.02882182839205628
25,-12.373737373737374,-25.0,27.89461196349978,4.252789932259912,2.0670530845358852e-08,5.458444400127078e-10,2.121637528537156e-08,0.9742724931723346,0.02572750682766538
26,-11.868686868686869,-25.0,27.67427917736865,4.2691467020704215,2.0786219810109456e-08,7.549974446441532e-10,2.154121725475361e-08,0.9649510315171468,0.035048968482853216
27,-11.363636363636363,-25.0,27.461468121805847,4.285761487257814,2.5788740634600145e-08,8.266318376327913e-10,2.6615372472232935e-08,0.9689415641845632,0.031058435815436845
28,-10.858585858585858,-25.0,27.256354980963263,4.302631052460307,3.016238713754212e-08,1.0027007540074298e-09,3.116508789154955e-08,0.9678261534991751,0.03217384650082483
29,-10.353535353535351,-25.0,27.05911481029833,4.319751482624563,3.1151843607467366e-08,1.32185998395544e-09,3.247370359142281e-08,0.9592944494232379,0.040705550576762034
30,-9.848484848484848,-25.0,26.869920986315453,4.3371181575287325,4.831719498410675e-08,1.3635868789084456e-09,4.9680781863015195e-08,0.9725530310157303,0.02744696898426968
31,-9.343434343434344,-25.0,26.688944627505755,4.354725729373484,5.132108140739728e-08,1.7023409899484083e-09,5.302342239734569e-08,0.9678945471080413,0.03210545289195867
32,-8.838383838383837,-25.0,26.51635398908765,4.372568103961823,5.451210214115452e-08,1.9189089116494116e-09,5.643101105280393e-08,0.9659954894330381,0.03400451056696184
33,-8.333333333333332,-25.0,26.352313834736496,4.3906384259880475,5.7954016333159554e-08,2.144190821202001e-09,6.009820715436156e-08,0.9643218837511296,0.03567811624887031
34,-7.828282828282827,-25.0,26.196984789085704,4.408929068944868,6.536939682525809e-08,2.983025379819519e-09,6.83524222050776e-08,0.9563581613703527,0.043641838629647316
35,-7.323232323232322,-25.0,26.050522675371308,4.427431630134535,7.545801091908498e-08,3.1527149371920192e-09,7.8610725856277e-08,0.9598945957711155,0.040105404228884596
36,-6.818181818181817,-25.0,25.913077843162228,4.446136931233765,9.272955208698474e-08,3.4328109471282694e-09,9.616236303411301e-08,0.9643019281263866,0.03569807187361339
37,-6.313131313131311,-25.0,25.784794491654168,4.465035024812867,9.823496619669977e-08,3.786560327480618e-09,1.0202152652418038e-07,0.9628846925106227,0.03711530748937731
38,-5.808080808080806,-25.0,25.66580999448871,4.484115207146637,9.504551513899773e-08,4.411140900882498e-09,9.945665603988023e-08,0.9556476049314013,0.04435239506859867
39,-5.303030303030301,-25.0,25.55625423247424,4.5033660375784255,1.1282140851966408e-07,4.721416432595295e-09,1.1754282495225938e-07,0.9598323722905849,0.04016762770941504
40,-4.797979797979796,-25.0,25.456248940914726,4.5227753646103,1.2122584104286445e-07,5.490944388655339e-09,1.267167854315198e-07,0.9566675845669811,0.04333241543301895
41,-4.292929292929291,-25.0,25.36590707848017,4.542330358792634,1.3316053538307705e-07,5.966850929960467e-09,1.391273863130375e-07,0.9571123192342951,0.042887680765705
42,-3.7878787878787854,-25.0,25.2853322246646,4.562017552377555,1.440158843228993e-07,6.4546715068150626e-09,1.5047055582971435e-07,0.9571034248446605,0.04289657515533959
43,-3.28282828282828,-25.0,25.21461801286185,4.581822885585062,1.614929901672181e-07,6.166792761698288e-09,1.6765978292891637e-07,0.9632184137783785,0.03678158622162153
44,-2.777777777777775,-25.0,25.15384760593727,4.601731759210795,1.465992035122082e-07,6.258799169797857e-09,1.5285800268200606e-07,0.9590548151880659,0.040945184811934106
45,-2.27272727272727,-25.0,25.103093220880137,4.621729093183944,1.7222111029635835e-07,6.4822542747414094e-09,1.7870336457109974e-07,0.9637261766710479,0.03627382332895221
46,-1.7676767676767646,-25.0,25.06241570868587,4.641799390565817,1.6837092805453492e-07,6.502705195785143e-09,1.7487363325032005e-07,0.9628148333461057,0.037185166653894305
47,-1.2626262626262594,-25.0,25.031864195042957,4.661926806367834,1.732819061953065e-07,7.58010279100464e-09,1.8086200898631115e-07,0.95808902691345,0.04191097308654994
48,-0.7575757575757578,-25.0,25.011475786695723,4.682095220465914,1.7048404741028814e-07,7.216629508148012e-09,1.7770067691843616e-07,0.9593888462706284,0.04061115372937164
49,-0.2525252525252526,-25.0,25.00127534753303,4.702288313799368,1.748533731279227e-07,7.318655626047039e-09,1.8217202875396972e-07,0.9598255798318459,0.04017442016815415
50,0.2525252525252526,-25.0,25.00127534753303,4.722489646970011,1.737056396709217e-07,7.3761102111281945e-09,1.810817498820499e-07,0.9592664074875975,0.04073359251240242
51,0.7575757575757578,-25.0,25.011475786695723,4.742682740303465,1.818681062043333e-07,7.645486127727654e-09,1.8951359233206094e-07,0.9596573204399428,0.040342679560057236
